Fecha Hora,PM10 [µg/m3],PM2.5 [µg/m3]
2024-01-22 01:00,"36,8","5,2"
2024-01-22 02:00,"25,6","5,1"
2024-01-22 03:00,"18,5","5,3"
2024-01-22 04:00,"18,9","5,4"
2024-01-22 05:00,"14,9","5,4"
2024-01-22 06:00,"12,5","5,2"
2024-01-22 07:00,"13,6","5,1"
2024-01-22 08:00,"15,4","5,3"
2024-01-22 09:00,"25,3","5,3"
2024-01-22 10:00,"27,9","5,8"
2024-01-22 11:00,"20,6",6
2024-01-22 12:00,15,"5,8"
2024-01-22 13:00,"11,1","5,4"
2024-01-22 14:00,10,"5,1"
2024-01-22 15:00,"9,7","4,8"
2024-01-22 16:00,"8,8","5,4"
2024-01-22 17:00,"11,7","5,2"
2024-01-22 18:00,"9,2",5
2024-01-22 19:00,"18,7","4,8"
2024-01-22 20:00,"16,3","5,1"
2024-01-22 21:00,"21,2",5
2024-01-22 22:00,"15,7","4,8"
2024-01-22 23:00,"12,2","4,7"
2024-01-22 24:00,"13,6","4,6"
2024-01-22 01:00,"36,8","5,2"
2024-01-22 02:00,"25,6","5,1"
2024-01-22 03:00,"18,5","5,3"
2024-01-22 04:00,"18,9","5,4"
2024-01-22 05:00,"14,9","5,4"
2024-01-22 06:00,"12,5","5,2"
2024-01-22 07:00,"13,6","5,1"
2024-01-22 08:00,"15,4","5,3"
2024-01-22 09:00,"25,3","5,3"
2024-01-22 10:00,"27,9","5,8"
2024-01-22 11:00,"20,6",6
2024-01-22 12:00,15,"5,8"
2024-01-22 13:00,"11,1","5,4"
2024-01-22 14:00,10,"5,1"
2024-01-22 15:00,"9,7","4,8"
2024-01-22 16:00,"8,8","5,4"
2024-01-22 17:00,"11,7","5,2"
2024-01-22 18:00,"9,2",5
2024-01-22 19:00,"18,7","4,8"
2024-01-22 20:00,"16,3","5,1"
2024-01-22 21:00,"21,2",5
2024-01-22 22:00,"15,7","4,8"
2024-01-22 23:00,"12,2","4,7"
2024-01-22 24:00,"13,6","4,6"
2024-01-23 01:00,"45,6","6,1"
2024-01-23 02:00,"30,8",6
2024-01-23 03:00,"22,8","9,9"
2024-01-23 04:00,"17,2","8,9"
2024-01-23 05:00,"13,2","7,6"
2024-01-23 06:00,"10,4",6
2024-01-23 07:00,9,"5,5"
2024-01-23 08:00,"27,4","5,1"
2024-01-23 09:00,"55,3","10,6"
2024-01-23 10:00,49,"17,8"
2024-01-23 11:00,"35,4","13,4"
2024-01-23 12:00,"26,3","10,8"
2024-01-23 13:00,"32,2","8,9"
2024-01-23 14:00,"23,8",7
2024-01-23 15:00,"18,3","5,8"
2024-01-23 16:00,"15,3","4,4"
2024-01-23 17:00,"11,1","4,3"
2024-01-23 18:00,13,"4,9"
2024-01-23 19:00,"12,5","3,8"
2024-01-23 20:00,"15,9","3,1"
2024-01-23 21:00,"12,1","6,3"
2024-01-23 22:00,13,"7,8"
2024-01-23 23:00,"23,6","14,2"
2024-01-23 24:00,"26,4",11
2024-01-24 01:00,"36,6","17,9"
2024-01-24 02:00,"26,2","18,5"
2024-01-24 03:00,"29,8","18,7"
2024-01-24 04:00,"31,5","29,7"
2024-01-24 05:00,"38,9","24,4"
2024-01-24 06:00,"36,6","30,1"
2024-01-24 07:00,"46,6","30,6"
2024-01-24 08:00,"75,7","34,6"
2024-01-24 09:00,"76,5","45,5"
2024-01-24 10:00,"59,9","36,6"
2024-01-24 11:00,"54,6","26,9"
2024-01-24 12:00,"42,6","20,1"
2024-01-24 13:00,"47,9","15,3"
2024-01-24 14:00,"34,2",11
2024-01-24 15:00,"25,5","9,2"
2024-01-24 16:00,"19,4","7,9"
2024-01-24 17:00,"14,2","6,7"
2024-01-24 18:00,"11,3",6
2024-01-24 19:00,"8,5","4,4"
2024-01-24 20:00,"8,9","3,3"
2024-01-24 21:00,7,"2,5"
2024-01-24 22:00,18,"2,1"
2024-01-24 23:00,"23,9","5,1"
2024-01-24 24:00,24,"4,9"
2024-01-25 01:00,"42,5","7,1"
2024-01-25 02:00,"35,8","6,8"
2024-01-25 03:00,27,"9,7"
2024-01-25 04:00,"20,1","13,3"
2024-01-25 05:00,"24,8","10,5"
2024-01-25 06:00,"27,3",10
2024-01-25 07:00,"43,1","17,1"
2024-01-25 08:00,"54,8","46,6"
2024-01-25 09:00,"69,2","55,1"
2024-01-25 10:00,"80,4","40,2"
2024-01-25 11:00,"74,5","31,5"
2024-01-25 12:00,"50,9","25,9"
2024-01-25 13:00,43,"22,2"
2024-01-25 14:00,"37,3","15,8"
2024-01-25 15:00,"27,4","11,5"
2024-01-25 16:00,"26,5","13,1"
2024-01-25 17:00,"52,1","14,3"
2024-01-25 18:00,"66,5","15,8"
2024-01-25 19:00,"65,3","20,3"
2024-01-25 20:00,"61,6","18,4"
2024-01-25 21:00,46,"15,3"
2024-01-25 22:00,47,27
2024-01-25 23:00,"44,7","20,8"
2024-01-25 24:00,"40,9","15,6"
2024-01-26 01:00,"37,1","21,9"
2024-01-26 02:00,"31,5",19
2024-01-26 03:00,"23,1","21,2"
2024-01-26 04:00,"34,1","15,9"
2024-01-26 05:00,"39,1","20,5"
2024-01-26 06:00,"40,5","30,7"
2024-01-26 07:00,"48,5","22,8"
2024-01-26 08:00,"60,3","40,2"
2024-01-26 09:00,"75,2","42,6"
2024-01-26 10:00,"77,7","40,3"
2024-01-26 11:00,"59,2",30
2024-01-26 12:00,"54,7","30,9"
2024-01-26 13:00,"40,7","22,7"
2024-01-26 14:00,42,"24,4"
2024-01-26 15:00,"31,1","17,5"
2024-01-26 16:00,23,"18,2"
2024-01-26 17:00,"42,5","20,1"
2024-01-26 18:00,"49,8","21,7"
2024-01-26 19:00,"57,1","26,7"
2024-01-26 20:00,"63,2","25,4"
2024-01-26 21:00,"45,7","20,8"
2024-01-26 22:00,"38,1","24,4"
2024-01-26 23:00,"33,3","17,8"
2024-01-26 24:00,"26,3","15,2"
2024-01-27 01:00,"22,1","12,6"
2024-01-27 02:00,"25,4","25,4"
2024-01-27 03:00,"26,5","22,3"
2024-01-27 04:00,"23,8",17
2024-01-27 05:00,"19,8",17
2024-01-27 06:00,"29,2","14,8"
2024-01-27 07:00,"47,5","23,4"
2024-01-27 08:00,"46,4","34,3"
2024-01-27 09:00,"55,1","32,4"
2024-01-27 10:00,"66,2","33,6"
2024-01-27 11:00,"59,9","29,7"
2024-01-27 12:00,"48,9",28
2024-01-27 13:00,"55,4","25,4"
2024-01-27 14:00,"47,1","23,8"
2024-01-27 15:00,"51,7","25,7"
2024-01-27 16:00,"55,1","18,3"
2024-01-27 17:00,"56,7",21
2024-01-27 18:00,"48,2","29,4"
2024-01-27 19:00,55,"29,6"
