Fecha Hora,PM10 [µg/m3],PM2.5 [µg/m3]
2024-01-22 01:00,"18,3","8,1"
2024-01-22 02:00,19,"10,1"
2024-01-22 03:00,"13,5","11,7"
2024-01-22 04:00,"10,8","8,1"
2024-01-22 05:00,"11,2",10
2024-01-22 06:00,"19,8","10,5"
2024-01-22 07:00,"32,3","19,8"
2024-01-22 08:00,"43,5","33,2"
2024-01-22 09:00,"33,4","19,4"
2024-01-22 10:00,"20,4",11
2024-01-22 11:00,"25,5","10,9"
2024-01-22 12:00,"35,3","9,7"
2024-01-22 13:00,"16,3",6
2024-01-22 14:00,"18,1","6,5"
2024-01-22 15:00,"19,7","15,1"
2024-01-22 16:00,"27,4",17
2024-01-22 17:00,"43,3","16,9"
2024-01-22 18:00,"28,5",16
2024-01-22 19:00,"24,5","16,7"
2024-01-22 20:00,19,13
2024-01-22 21:00,29,13
2024-01-22 22:00,"22,7",14
2024-01-22 23:00,"19,6",16
2024-01-22 24:00,"36,8","33,4"
2024-01-22 01:00,"18,3","8,1"
2024-01-22 02:00,19,"10,1"
2024-01-22 03:00,"13,5","11,7"
2024-01-22 04:00,"10,8","8,1"
2024-01-22 05:00,"11,2",10
2024-01-22 06:00,"19,8","10,5"
2024-01-22 07:00,"32,3","19,8"
2024-01-22 08:00,"43,5","33,2"
2024-01-22 09:00,"33,4","19,4"
2024-01-22 10:00,"20,4",11
2024-01-22 11:00,"25,5","10,9"
2024-01-22 12:00,"35,3","9,7"
2024-01-22 13:00,"16,3",6
2024-01-22 14:00,"18,1","6,5"
2024-01-22 15:00,"19,7","15,1"
2024-01-22 16:00,"27,4",17
2024-01-22 17:00,"43,3","16,9"
2024-01-22 18:00,"28,5",16
2024-01-22 19:00,"24,5","16,7"
2024-01-22 20:00,19,13
2024-01-22 21:00,29,13
2024-01-22 22:00,"22,7",14
2024-01-22 23:00,"19,6",16
2024-01-22 24:00,"36,8","33,4"
2024-01-23 01:00,"24,2","24,2"
2024-01-23 02:00,"11,3","11,2"
2024-01-23 03:00,"17,6","16,2"
2024-01-23 04:00,"30,1","20,7"
2024-01-23 05:00,"19,5","15,7"
2024-01-23 06:00,"19,8","11,5"
2024-01-23 07:00,"39,7","21,8"
2024-01-23 08:00,"63,5","36,6"
2024-01-23 09:00,"52,8","30,2"
2024-01-23 10:00,"33,4","17,4"
2024-01-23 11:00,"20,9","9,1"
2024-01-23 12:00,"24,8","11,8"
2024-01-23 13:00,"19,7","9,2"
2024-01-23 14:00,"23,5",13
2024-01-23 15:00,21,"13,1"
2024-01-23 16:00,"20,6","14,7"
2024-01-23 17:00,"18,6",11
2024-01-23 18:00,17,12
2024-01-23 19:00,"18,4","12,1"
2024-01-23 20:00,26,15
2024-01-23 21:00,"25,5","16,1"
2024-01-23 22:00,"24,5","19,2"
2024-01-23 23:00,"32,6",23
2024-01-23 24:00,30,"23,5"
2024-01-24 01:00,27,"16,6"
2024-01-24 02:00,38,"27,6"
2024-01-24 03:00,"39,7","23,1"
2024-01-24 04:00,"53,7","43,5"
2024-01-24 05:00,"78,6","69,9"
2024-01-24 06:00,"78,2","69,1"
2024-01-24 07:00,"84,5","70,4"
2024-01-24 08:00,"82,4","61,8"
