Fecha Hora,PM10 [µg/m3],PM2.5 [µg/m3]
2023-01-23 01:00,20,12
2023-01-23 02:00,16,9
2023-01-23 03:00,21,15
2023-01-23 04:00,20,17
2023-01-23 05:00,23,9
2023-01-23 06:00,51,24
2023-01-23 07:00,48,29
2023-01-23 08:00,35,22
2023-01-23 09:00,60,33
2023-01-23 10:00,26,16
2023-01-23 11:00,26,9
2023-01-23 12:00,20,6
2023-01-23 13:00,10,4
2023-01-23 14:00,16,3
2023-01-23 15:00,15,6
2023-01-23 16:00,16,8
2023-01-23 17:00,27,23
2023-01-23 18:00,10,2
2023-01-23 19:00,11,7
2023-01-23 20:00,21,8
2023-01-23 21:00,19,5
2023-01-23 22:00,17,12
2023-01-23 23:00,23,11
2023-01-23 24:00,20,6
2023-01-23 01:00,20,12
2023-01-23 02:00,16,9
2023-01-23 03:00,21,15
2023-01-23 04:00,20,17
2023-01-23 05:00,23,9
2023-01-23 06:00,51,24
2023-01-23 07:00,48,29
2023-01-23 08:00,35,22
2023-01-23 09:00,60,33
2023-01-23 10:00,26,16
2023-01-23 11:00,26,9
2023-01-23 12:00,20,6
2023-01-23 13:00,10,4
2023-01-23 14:00,16,3
2023-01-23 15:00,15,6
2023-01-23 16:00,16,8
2023-01-23 17:00,27,23
2023-01-23 18:00,10,2
2023-01-23 19:00,11,7
2023-01-23 20:00,21,8
2023-01-23 21:00,19,5
2023-01-23 22:00,17,12
2023-01-23 23:00,23,11
2023-01-23 24:00,20,6
2023-01-24 01:00,12,1
2023-01-24 02:00,13,1
2023-01-24 03:00,10,6
2023-01-24 04:00,9,8
2023-01-24 05:00,19,9
2023-01-24 06:00,11,8
2023-01-24 07:00,35,23
2023-01-24 08:00,35,19
2023-01-24 09:00,26,12
2023-01-24 10:00,18,10
2023-01-24 11:00,11,7
2023-01-24 12:00,12,4
2023-01-24 13:00,17,2
2023-01-24 14:00,10,5
2023-01-24 15:00,10,8
2023-01-24 16:00,17,4
2023-01-24 17:00,19,5
2023-01-24 18:00,16,12
2023-01-24 19:00,31,11
2023-01-24 20:00,18,11
2023-01-24 21:00,24,11
2023-01-24 22:00,24,17
2023-01-24 23:00,21,16
2023-01-24 24:00,19,14
2023-01-25 01:00,19,11
2023-01-25 02:00,28,10
2023-01-25 03:00,35,16
2023-01-25 04:00,26,16
2023-01-25 05:00,34,21
2023-01-25 06:00,41,23
2023-01-25 07:00,42,28
2023-01-25 08:00,40,28
2023-01-25 09:00,53,32
2023-01-25 10:00,44,22
2023-01-25 11:00,27,13
2023-01-25 12:00,31,13
2023-01-25 13:00,26,9
2023-01-25 14:00,22,7
2023-01-25 15:00,27,6
2023-01-25 16:00,17,1
2023-01-25 17:00,23,9
2023-01-25 18:00,41,25
2023-01-25 19:00,52,28
2023-01-25 20:00,30,17
2023-01-25 21:00,27,17
2023-01-25 22:00,28,9
2023-01-25 23:00,28,12
2023-01-25 24:00,43,20
2023-01-26 01:00,46,30
2023-01-26 02:00,42,22
2023-01-26 03:00,37,23
2023-01-26 04:00,38,22
2023-01-26 05:00,45,21
2023-01-26 06:00,51,30
2023-01-26 07:00,82,49
2023-01-26 08:00,58,39
2023-01-26 09:00,58,33
2023-01-26 10:00,53,36
2023-01-26 11:00,36,23
2023-01-26 12:00,13,6
2023-01-26 13:00,18,7
2023-01-26 14:00,18,1
2023-01-26 15:00,19,1
2023-01-26 16:00,10,6
2023-01-26 17:00,15,3
2023-01-26 18:00,24,7
2023-01-26 19:00,44,27
2023-01-26 20:00,33,10
2023-01-26 21:00,28,20
2023-01-26 22:00,33,17
2023-01-26 23:00,38,18
2023-01-26 24:00,34,18
2023-01-27 01:00,40,14
2023-01-27 02:00,31,17
2023-01-27 03:00,32,14
2023-01-27 04:00,40,16
2023-01-27 05:00,42,25
2023-01-27 06:00,40,24
2023-01-27 07:00,60,41
