Fecha Hora,PM10 [µg/m3],PM2.5 [µg/m3]
2023-01-23 01:00,"27,8","17,8"
2023-01-23 02:00,25,"12,3"
2023-01-23 03:00,"30,7","25,7"
2023-01-23 04:00,31,"18,4"
2023-01-23 05:00,"37,7","37,7"
2023-01-23 06:00,"41,9","25,1"
2023-01-23 07:00,"49,8","30,9"
2023-01-23 08:00,"62,2","28,9"
2023-01-23 09:00,62,"27,4"
2023-01-23 10:00,"56,3",
2023-01-23 11:00,51,"26,8"
2023-01-23 12:00,"52,3",19
2023-01-23 13:00,"48,2","22,1"
2023-01-23 14:00,"38,7","26,6"
2023-01-23 15:00,"34,6","12,9"
2023-01-23 16:00,"31,9","11,9"
2023-01-23 17:00,31,10
2023-01-23 18:00,"34,2",10
2023-01-23 19:00,"25,6","11,1"
2023-01-23 20:00,"26,5",16
2023-01-23 21:00,"29,4","19,8"
2023-01-23 22:00,"21,1","11,9"
2023-01-23 23:00,"15,4","12,1"
2023-01-23 24:00,15,14
2023-01-23 01:00,"27,8","17,8"
2023-01-23 02:00,25,"12,3"
2023-01-23 03:00,"30,7","25,7"
2023-01-23 04:00,31,"18,4"
2023-01-23 05:00,"37,7","37,7"
2023-01-23 06:00,"41,9","25,1"
2023-01-23 07:00,"49,8","30,9"
2023-01-23 08:00,"62,2","28,9"
2023-01-23 09:00,62,"27,4"
2023-01-23 10:00,"56,3",
2023-01-23 11:00,51,"26,8"
2023-01-23 12:00,"52,3",19
2023-01-23 13:00,"48,2","22,1"
2023-01-23 14:00,"38,7","26,6"
2023-01-23 15:00,"34,6","12,9"
2023-01-23 16:00,"31,9","11,9"
2023-01-23 17:00,31,10
2023-01-23 18:00,"34,2",10
2023-01-23 19:00,"25,6","11,1"
2023-01-23 20:00,"26,5",16
2023-01-23 21:00,"29,4","19,8"
2023-01-23 22:00,"21,1","11,9"
2023-01-23 23:00,"15,4","12,1"
2023-01-23 24:00,15,14
2023-01-24 01:00,"19,2","15,6"
2023-01-24 02:00,"25,2",10
2023-01-24 03:00,"27,6","10,2"
2023-01-24 04:00,"20,7","20,7"
2023-01-24 05:00,"20,3",13
2023-01-24 06:00,"34,9",16
2023-01-24 07:00,"43,3","30,8"
2023-01-24 08:00,"34,8","21,9"
2023-01-24 09:00,"40,1",20
2023-01-24 10:00,"47,6","22,1"
2023-01-24 11:00,"48,5","27,3"
2023-01-24 12:00,"43,6","15,1"
2023-01-24 13:00,"38,9","22,1"
2023-01-24 14:00,"33,5","28,5"
2023-01-24 15:00,"35,5",14
2023-01-24 16:00,"36,4","17,8"
2023-01-24 17:00,"31,4",14
2023-01-24 18:00,"30,6","14,8"
2023-01-24 19:00,"25,7",8
2023-01-24 20:00,"30,2","8,2"
2023-01-24 21:00,"32,7",18
2023-01-24 22:00,"32,2","18,4"
2023-01-24 23:00,"36,7","20,9"
2023-01-24 24:00,"34,9","21,9"
2023-01-25 01:00,"35,1",21
2023-01-25 02:00,"39,4",26
2023-01-25 03:00,"36,1","26,9"
2023-01-25 04:00,"31,4","22,9"
2023-01-25 05:00,"32,9","22,4"
2023-01-25 06:00,37,"29,2"
2023-01-25 07:00,"50,6",41
2023-01-25 08:00,"65,2","44,3"
2023-01-25 09:00,"79,1","57,7"
2023-01-25 10:00,"95,1","45,7"
2023-01-25 11:00,"96,4","33,8"
2023-01-25 12:00,"85,6",28
2023-01-25 13:00,"79,7","28,8"
2023-01-25 14:00,"76,8","24,2"
2023-01-25 15:00,"70,2",35
2023-01-25 16:00,"69,8","34,7"
2023-01-25 17:00,"65,5","21,4"
2023-01-25 18:00,"61,7","28,8"
2023-01-25 19:00,"57,8","25,8"
2023-01-25 20:00,"52,4","20,1"
2023-01-25 21:00,"43,8","29,1"
2023-01-25 22:00,41,"37,6"
2023-01-25 23:00,"44,7","23,5"
2023-01-25 24:00,47,"30,8"
2023-01-26 01:00,"52,8","26,2"
2023-01-26 02:00,"58,4","38,6"
2023-01-26 03:00,"51,9",22
2023-01-26 04:00,47,"24,9"
2023-01-26 05:00,"48,9","31,8"
2023-01-26 06:00,"55,5","26,3"
2023-01-26 07:00,"59,3",42
2023-01-26 08:00,"69,8","41,8"
2023-01-26 09:00,"78,3","36,8"
2023-01-26 10:00,"87,2","55,8"
2023-01-26 11:00,"84,9","46,6"
2023-01-26 12:00,"74,7","32,6"
2023-01-26 13:00,63,"14,9"
2023-01-26 14:00,"50,4",11
2023-01-26 15:00,"47,8","11,4"
2023-01-26 16:00,"47,4","29,1"
2023-01-26 17:00,"54,1","34,9"
2023-01-26 18:00,"65,8",34
2023-01-26 19:00,"63,2","35,9"
2023-01-26 20:00,"68,2","35,1"
2023-01-26 21:00,"64,1",42
2023-01-26 22:00,"61,1","42,1"
2023-01-26 23:00,"68,5","48,9"
2023-01-26 24:00,"74,8","46,8"
2023-01-27 01:00,"69,4","40,9"
2023-01-27 02:00,"66,2","32,6"
2023-01-27 03:00,"61,6","19,1"
2023-01-27 04:00,"56,3","24,9"
2023-01-27 05:00,"58,2","21,9"
2023-01-27 06:00,"63,2","19,5"
2023-01-27 07:00,"75,2","44,1"
2023-01-27 08:00,"86,8","61,8"
2023-01-27 09:00,"107,9","55,5"
2023-01-27 10:00,"136,5","84,2"
2023-01-27 11:00,"139,5","57,8"
2023-01-27 12:00,"117,2","50,4"
2023-01-27 13:00,92,"20,3"
2023-01-27 14:00,"82,4","0,7"
2023-01-27 15:00,"79,7","39,9"
2023-01-27 16:00,"83,2","36,2"
2023-01-27 17:00,"82,1",38
2023-01-27 18:00,"77,5","41,8"
2023-01-27 19:00,"75,1","33,2"
2023-01-27 20:00,"75,1","43,9"
2023-01-27 21:00,"72,1","41,8"
2023-01-27 22:00,"71,3","40,3"
2023-01-27 23:00,"74,6","54,7"
2023-01-27 24:00,"70,7","42,8"
2023-01-28 01:00,"68,1","35,2"
2023-01-28 02:00,"64,4","46,6"
2023-01-28 03:00,72,"30,1"
2023-01-28 04:00,"69,9","33,7"
2023-01-28 05:00,62,"40,3"
2023-01-28 06:00,70,"54,7"
2023-01-28 07:00,"97,6","45,4"
2023-01-28 08:00,"116,7","60,1"
2023-01-28 09:00,"118,2","67,9"
2023-01-28 10:00,"120,3","71,9"
2023-01-28 11:00,"128,3","62,5"
2023-01-28 12:00,"118,9","44,2"
2023-01-28 13:00,"106,5","54,9"
2023-01-28 14:00,105,"50,7"
2023-01-28 15:00,"95,5","36,7"
2023-01-28 16:00,"86,2","24,1"
2023-01-28 17:00,"84,3","28,7"
2023-01-28 18:00,"70,6","19,1"
2023-01-28 19:00,"64,6","24,1"
2023-01-28 20:00,"51,6","31,8"
2023-01-28 21:00,"46,7","23,2"
