Fecha Hora,PM10 [µg/m3],PM2.5 [µg/m3]
2024-01-22 01:00,"24,6","12,4"
2024-01-22 02:00,"23,1","9,7"
2024-01-22 03:00,"27,5","7,7"
2024-01-22 04:00,"23,8","9,5"
2024-01-22 05:00,"24,6","7,4"
2024-01-22 06:00,"26,4","7,5"
2024-01-22 07:00,"35,8","14,7"
2024-01-22 08:00,"36,1","11,4"
2024-01-22 09:00,"47,4","17,4"
2024-01-22 10:00,"39,6","18,5"
2024-01-22 11:00,"40,9","26,1"
2024-01-22 12:00,"39,1","19,4"
2024-01-22 13:00,"30,4","15,3"
2024-01-22 14:00,"36,2","19,8"
2024-01-22 15:00,"32,4","14,8"
2024-01-22 16:00,27,"11,5"
2024-01-22 17:00,"29,2","8,6"
2024-01-22 18:00,"25,4",6
2024-01-22 19:00,"22,7","4,3"
2024-01-22 20:00,"34,2","3,1"
2024-01-22 21:00,28,"2,4"
2024-01-22 22:00,"29,9","2,6"
2024-01-22 23:00,"33,8","3,2"
2024-01-22 24:00,"38,7","8,1"
2024-01-22 01:00,"24,6","12,4"
2024-01-22 02:00,"23,1","9,7"
2024-01-22 03:00,"27,5","7,7"
2024-01-22 04:00,"23,8","9,5"
2024-01-22 05:00,"24,6","7,4"
2024-01-22 06:00,"26,4","7,5"
2024-01-22 07:00,"35,8","14,7"
2024-01-22 08:00,"36,1","11,4"
2024-01-22 09:00,"47,4","17,4"
2024-01-22 10:00,"39,6","18,5"
2024-01-22 11:00,"40,9","26,1"
2024-01-22 12:00,"39,1","19,4"
2024-01-22 13:00,"30,4","15,3"
2024-01-22 14:00,"36,2","19,8"
2024-01-22 15:00,"32,4","14,8"
2024-01-22 16:00,27,"11,5"
2024-01-22 17:00,"29,2","8,6"
2024-01-22 18:00,"25,4",6
2024-01-22 19:00,"22,7","4,3"
2024-01-22 20:00,"34,2","3,1"
2024-01-22 21:00,28,"2,4"
2024-01-22 22:00,"29,9","2,6"
2024-01-22 23:00,"33,8","3,2"
2024-01-22 24:00,"38,7","8,1"
2024-01-23 01:00,"40,9","7,4"
2024-01-23 02:00,39,"6,3"
2024-01-23 03:00,"35,5","5,2"
2024-01-23 04:00,"39,8","6,4"
2024-01-23 05:00,"56,9","19,5"
2024-01-23 06:00,"61,5","21,9"
2024-01-23 07:00,"61,4","28,2"
2024-01-23 08:00,"73,4","28,4"
2024-01-23 09:00,"69,7","25,1"
2024-01-23 10:00,"64,9","31,5"
2024-01-23 11:00,"64,8","47,7"
2024-01-23 12:00,51,"34,1"
2024-01-23 13:00,"49,7","24,3"
2024-01-23 14:00,"49,3","18,2"
2024-01-23 15:00,"47,2","13,8"
2024-01-23 16:00,"42,5","17,3"
2024-01-23 17:00,"37,3","12,3"
2024-01-23 18:00,33,"9,1"
2024-01-23 19:00,"34,1","6,3"
2024-01-23 20:00,"46,4","4,8"
2024-01-23 21:00,"41,8","8,3"
2024-01-23 22:00,"43,1","10,6"
2024-01-23 23:00,"34,3","9,3"
2024-01-23 24:00,"41,6","11,2"
2024-01-24 01:00,"46,4","9,7"
2024-01-24 02:00,"49,8","16,7"
2024-01-24 03:00,"64,1","13,4"
2024-01-24 04:00,67,"12,4"
2024-01-24 05:00,"76,7","29,4"
2024-01-24 06:00,"101,8","36,2"
2024-01-24 07:00,"119,7","49,3"
2024-01-24 08:00,"132,5",54
2024-01-24 09:00,"151,4","54,1"
2024-01-24 10:00,"114,9","56,3"
2024-01-24 11:00,"96,5","47,2"
2024-01-24 12:00,83,46
2024-01-24 13:00,"80,2",39
2024-01-24 14:00,"65,1","28,4"
2024-01-24 15:00,45,"21,4"
2024-01-24 16:00,"52,1","18,4"
2024-01-24 17:00,53,"13,1"
2024-01-24 18:00,"45,2","9,7"
2024-01-24 19:00,"39,7","6,7"
2024-01-24 20:00,"30,8","4,6"
2024-01-24 21:00,"33,5","3,5"
2024-01-24 22:00,"36,1","6,3"
2024-01-24 23:00,"71,6","24,7"
2024-01-24 24:00,"65,8",27
2024-01-25 01:00,"63,7","19,7"
2024-01-25 02:00,"49,2","18,9"
2024-01-25 03:00,"45,6","15,3"
2024-01-25 04:00,"45,7","18,2"
2024-01-25 05:00,"40,8","15,9"
2024-01-25 06:00,"54,8",15
2024-01-25 07:00,"69,9",22
2024-01-25 08:00,"115,6",35
2024-01-25 09:00,161,"66,6"
2024-01-25 10:00,"212,5","81,2"
2024-01-25 11:00,231,"87,5"
2024-01-25 12:00,"191,8","78,8"
2024-01-25 13:00,"154,3","63,2"
2024-01-25 14:00,"121,1","54,4"
2024-01-25 15:00,"107,6","47,7"
2024-01-25 16:00,"112,9","38,6"
2024-01-25 17:00,"102,7","30,8"
2024-01-25 18:00,"92,7","27,8"
2024-01-25 19:00,"95,3","23,4"
2024-01-25 20:00,"88,5","22,9"
2024-01-25 21:00,"86,3","23,8"
2024-01-25 22:00,"80,8","22,3"
2024-01-25 23:00,"80,3","25,2"
2024-01-25 24:00,77,"21,6"
2024-01-26 01:00,"83,5","38,5"
2024-01-26 02:00,"89,4","30,4"
2024-01-26 03:00,"80,3","27,1"
2024-01-26 04:00,"89,4","22,9"
2024-01-26 05:00,100,"37,4"
2024-01-26 06:00,107,40
2024-01-26 07:00,"118,7","49,6"
2024-01-26 08:00,"133,7","50,4"
2024-01-26 09:00,160,"56,7"
2024-01-26 10:00,"150,5","62,2"
2024-01-26 11:00,"135,2","62,8"
2024-01-26 12:00,"120,6","48,7"
2024-01-26 13:00,"106,9","38,9"
2024-01-26 14:00,"98,7","31,8"
2024-01-26 15:00,"91,5","39,1"
2024-01-26 16:00,"98,4","39,3"
2024-01-26 17:00,"99,5","28,1"
2024-01-26 18:00,"101,2","22,6"
2024-01-26 19:00,"91,6","21,8"
2024-01-26 20:00,"84,9","22,6"
2024-01-26 21:00,"84,2","29,5"
2024-01-26 22:00,"70,9","22,7"
