Fecha Hora,PM10 [µg/m3],PM2.5 [µg/m3]
2023-01-23 01:00,"12,6",5
2023-01-23 02:00,"9,4",1
2023-01-23 03:00,"7,4",4
2023-01-23 04:00,"6,1",3
2023-01-23 05:00,"5,5",4
2023-01-23 06:00,"6,4",5
2023-01-23 07:00,"9,9",5
2023-01-23 08:00,13,13
2023-01-23 09:00,20,20
2023-01-23 10:00,17,17
2023-01-23 11:00,"11,9",6
2023-01-23 12:00,"18,8",8
2023-01-23 13:00,26,7
2023-01-23 14:00,"18,5",4
2023-01-23 15:00,"13,5",6
2023-01-23 16:00,"10,5",3
2023-01-23 17:00,"7,8",0
2023-01-23 18:00,"5,5",3
2023-01-23 19:00,,5
2023-01-23 20:00,5,5
2023-01-23 21:00,8,8
2023-01-23 22:00,"6,2",3
2023-01-23 23:00,"5,4",0
2023-01-23 24:00,"5,1",0
2023-01-23 01:00,"12,6",5
2023-01-23 02:00,"9,4",1
2023-01-23 03:00,"7,4",4
2023-01-23 04:00,"6,1",3
2023-01-23 05:00,"5,5",4
2023-01-23 06:00,"6,4",5
2023-01-23 07:00,"9,9",5
2023-01-23 08:00,13,13
2023-01-23 09:00,20,20
2023-01-23 10:00,17,17
2023-01-23 11:00,"11,9",6
2023-01-23 12:00,"18,8",8
2023-01-23 13:00,26,7
2023-01-23 14:00,"18,5",4
2023-01-23 15:00,"13,5",6
2023-01-23 16:00,"10,5",3
2023-01-23 17:00,"7,8",0
2023-01-23 18:00,"5,5",3
2023-01-23 19:00,,5
2023-01-23 20:00,5,5
2023-01-23 21:00,8,8
2023-01-23 22:00,"6,2",3
2023-01-23 23:00,"5,4",0
2023-01-23 24:00,"5,1",0
2023-01-24 01:00,"4,5",3
2023-01-24 02:00,"4,1",3
2023-01-24 03:00,"3,9",2
2023-01-24 04:00,"3,7",0
2023-01-24 05:00,"3,8",1
2023-01-24 06:00,,7
2023-01-24 07:00,,7
2023-01-24 08:00,,18
2023-01-24 09:00,,22
2023-01-24 10:00,,14
2023-01-24 11:00,"8,5",7
2023-01-24 12:00,"10,8",2
2023-01-24 13:00,"20,4",4
2023-01-24 14:00,15,4
2023-01-24 15:00,"11,3",2
2023-01-24 16:00,9,2
2023-01-24 17:00,"6,5",4
2023-01-24 18:00,5,5
2023-01-24 19:00,10,6
2023-01-24 20:00,"7,5",6
2023-01-24 21:00,10,10
2023-01-24 22:00,9,9
2023-01-24 23:00,"11,1",10
2023-01-24 24:00,10,10
2023-01-25 01:00,"6,7",6
2023-01-25 02:00,"13,9",4
2023-01-25 03:00,"9,8",3
2023-01-25 04:00,"7,6",1
2023-01-25 05:00,"6,4",6
2023-01-25 06:00,7,7
2023-01-25 07:00,7,7
2023-01-25 08:00,"15,1",12
2023-01-25 09:00,"19,9",17
2023-01-25 10:00,"34,1",31
2023-01-25 11:00,"36,8",20
2023-01-25 12:00,34,11
2023-01-25 13:00,"42,5",27
2023-01-25 14:00,"47,9",22
2023-01-25 15:00,"34,1",23
2023-01-25 16:00,"38,9",22
2023-01-25 17:00,51,26
2023-01-25 18:00,"53,2",22
2023-01-25 19:00,"43,1",22
2023-01-25 20:00,"29,9",16
2023-01-25 21:00,"24,7",14
2023-01-25 22:00,"18,1",11
2023-01-25 23:00,"14,4",12
2023-01-25 24:00,"16,3",13
2023-01-26 01:00,"27,1",10
2023-01-26 02:00,"23,6",13
2023-01-26 03:00,"19,7",12
2023-01-26 04:00,"14,7",10
2023-01-26 05:00,"11,4",8
2023-01-26 06:00,"9,1",7
2023-01-26 07:00,11,11
2023-01-26 08:00,12,12
2023-01-26 09:00,"16,7",13
2023-01-26 10:00,"22,9",22
2023-01-26 11:00,"35,4",22
2023-01-26 12:00,"25,8",4
2023-01-26 13:00,"35,2",4
2023-01-26 14:00,"25,9",3
2023-01-26 15:00,"18,8",1
2023-01-26 16:00,"15,5",1
2023-01-26 17:00,"11,1",4
2023-01-26 18:00,"26,7","26,8"
2023-01-26 19:00,"25,4",16
2023-01-26 20:00,"25,6",17
2023-01-26 21:00,"21,2","21,3"
2023-01-26 22:00,"19,4","19,4"
2023-01-26 23:00,"30,9",26
2023-01-26 24:00,29,22
2023-01-27 01:00,"32,4",20
2023-01-27 02:00,"34,5",23
2023-01-27 03:00,"29,7",25
2023-01-27 04:00,"28,1",23
2023-01-27 05:00,"33,9",19
2023-01-27 06:00,"29,8",20
2023-01-27 07:00,"24,9",21
2023-01-27 08:00,34,21
2023-01-27 09:00,"42,6",24
2023-01-27 10:00,"47,2",38
2023-01-27 11:00,"71,4",44
2023-01-27 12:00,"55,7",25
2023-01-27 13:00,"63,1",17
2023-01-27 14:00,"58,7",14
2023-01-27 15:00,"42,3",10
2023-01-27 16:00,"50,1",29
2023-01-27 17:00,"55,3",30
2023-01-27 18:00,57,28
2023-01-27 19:00,"51,1",29
2023-01-27 20:00,"46,6",42
2023-01-27 21:00,"57,1",39
2023-01-27 22:00,"43,8",14
2023-01-27 23:00,"30,7",24
2023-01-27 24:00,"39,3",23
2023-01-28 01:00,"40,8",23
2023-01-28 02:00,"41,8",28
2023-01-28 03:00,"37,3",31
2023-01-28 04:00,"32,6",25
2023-01-28 05:00,"36,6",25
2023-01-28 06:00,"37,5",27
2023-01-28 07:00,"42,3",23
2023-01-28 08:00,"32,6",23
2023-01-28 09:00,"32,2",28
2023-01-28 10:00,"40,8",31
2023-01-28 11:00,56,42
2023-01-28 12:00,"50,8",39
2023-01-28 13:00,"49,2",30
2023-01-28 14:00,"46,5",25
2023-01-28 15:00,"52,8",38
2023-01-28 16:00,"61,3",28
2023-01-28 17:00,"57,1",22
2023-01-28 18:00,"43,6",24
2023-01-28 19:00,"37,4",17
2023-01-28 20:00,"34,2",20
2023-01-28 21:00,"30,2",13
2023-01-28 22:00,"22,6",13
2023-01-28 23:00,"21,3",12
2023-01-28 24:00,"15,7",8
2023-01-29 01:00,"12,4",6
2023-01-29 02:00,"14,7",9
2023-01-29 03:00,,17
2023-01-29 04:00,"21,1",12
2023-01-29 05:00,"18,7",16
2023-01-29 06:00,"21,7",9
2023-01-29 07:00,"17,7",14
2023-01-29 08:00,29,20
2023-01-29 09:00,"26,7",15
2023-01-29 10:00,"24,4",21
2023-01-29 11:00,"32,4",27
2023-01-29 12:00,"33,9",25
2023-01-29 13:00,"47,3",23
2023-01-29 14:00,"42,2",31
2023-01-29 15:00,"40,6",19
2023-01-29 16:00,"35,2",18
2023-01-29 17:00,"38,7",20
2023-01-29 18:00,"26,8",9
2023-01-29 19:00,"26,4",4
2023-01-29 20:00,"18,2",4
2023-01-29 21:00,13,8
2023-01-29 22:00,13,13
2023-01-29 23:00,15,15
2023-01-29 24:00,"16,5",14
2023-01-30 01:00,"18,9",14
2023-01-30 02:00,"24,9",14
2023-01-30 03:00,"27,4",16
2023-01-30 04:00,"20,1",20
2023-01-30 05:00,"19,4",13
2023-01-30 06:00,22,15
2023-01-30 07:00,23,18
2023-01-30 08:00,"32,5",25
2023-01-30 09:00,37,21
2023-01-30 10:00,"27,7",23
2023-01-30 11:00,41,32
2023-01-30 12:00,"54,7",41
2023-01-30 13:00,"52,2",20
2023-01-30 14:00,"60,5",32
2023-01-30 15:00,"58,3",32
2023-01-30 16:00,"65,9",31
2023-01-30 17:00,"54,5",24
2023-01-30 18:00,"55,7",24
2023-01-30 19:00,"51,7",30
2023-01-30 20:00,"47,2",30
2023-01-30 21:00,"35,1",13
2023-01-30 22:00,"26,3",14
2023-01-30 23:00,"25,3",13
2023-01-30 24:00,"22,9",11
2023-01-31 01:00,"16,8",16
2023-01-31 02:00,"24,6",22
2023-01-31 03:00,"23,1",22
2023-01-31 04:00,"30,2",25
2023-01-31 05:00,"25,6",24
2023-01-31 06:00,"25,7",22
2023-01-31 07:00,"24,8",24
2023-01-31 08:00,,32
2023-01-31 09:00,"35,8",22
2023-01-31 10:00,,54
2023-01-31 11:00,,58
2023-01-31 12:00,"62,7",48
2023-01-31 13:00,"70,5",33
2023-01-31 14:00,"62,4",30
2023-01-31 15:00,"66,3",33
2023-01-31 16:00,"59,4",30
2023-01-31 17:00,"48,6",24
2023-01-31 18:00,"54,6",29
2023-01-31 19:00,"51,5",24
2023-01-31 20:00,"40,3",24
2023-01-31 21:00,"45,5",29
2023-01-31 22:00,"41,2",32
2023-01-31 23:00,"45,4",27
2023-01-31 24:00,"38,4",25
2023-02-01 01:00,"37,6",20
2023-02-01 02:00,"37,1",20
2023-02-01 03:00,"36,8",27
2023-02-01 04:00,"32,7",19
2023-02-01 05:00,"34,7",28
2023-02-01 06:00,33,33
2023-02-01 07:00,"31,4",31
2023-02-01 08:00,37,37
2023-02-01 09:00,"50,3",35
2023-02-01 10:00,"54,3",45
2023-02-01 11:00,"68,7",60
2023-02-01 12:00,"74,7",63
2023-02-01 13:00,"85,2",56
2023-02-01 14:00,"96,6",53
2023-02-01 15:00,90,44
2023-02-01 16:00,"86,1",47
2023-02-01 17:00,"69,5",32
2023-02-01 18:00,"66,4",32
2023-02-01 19:00,51,26
2023-02-01 20:00,51,31
2023-02-01 21:00,"64,2",27
2023-02-01 22:00,"46,2",33
2023-02-01 23:00,"33,1",33
2023-02-01 24:00,"44,4",32
