Fecha Hora,PM10 [µg/m3],PM2.5 [µg/m3]
2023-01-23 01:00,,
2023-01-23 02:00,,
2023-01-23 03:00,,
2023-01-23 04:00,,
2023-01-23 05:00,,
2023-01-23 06:00,,
2023-01-23 07:00,,
2023-01-23 08:00,32,"6,8"
2023-01-23 09:00,"38,5","10,2"
2023-01-23 10:00,"47,9","9,5"
2023-01-23 11:00,47,"15,6"
2023-01-23 12:00,"40,2","11,6"
2023-01-23 13:00,"42,4","9,1"
2023-01-23 14:00,31,"9,9"
2023-01-23 15:00,"32,9","13,1"
2023-01-23 16:00,"27,8","14,6"
2023-01-23 17:00,"20,6","10,9"
2023-01-23 18:00,"19,9","8,4"
2023-01-23 19:00,15,"5,9"
2023-01-23 20:00,"15,6","4,5"
2023-01-23 21:00,"11,1","4,1"
2023-01-23 22:00,"9,6","4,5"
2023-01-23 23:00,"10,7","5,5"
2023-01-23 24:00,"13,5","7,2"
2023-01-23 01:00,,
2023-01-23 02:00,,
2023-01-23 03:00,,
2023-01-23 04:00,,
2023-01-23 05:00,,
2023-01-23 06:00,,
2023-01-23 07:00,,
2023-01-23 08:00,32,"6,8"
2023-01-23 09:00,"38,5","10,2"
2023-01-23 10:00,"47,9","9,5"
2023-01-23 11:00,47,"15,6"
2023-01-23 12:00,"40,2","11,6"
2023-01-23 13:00,"42,4","9,1"
2023-01-23 14:00,31,"9,9"
2023-01-23 15:00,"32,9","13,1"
2023-01-23 16:00,"27,8","14,6"
2023-01-23 17:00,"20,6","10,9"
2023-01-23 18:00,"19,9","8,4"
2023-01-23 19:00,15,"5,9"
2023-01-23 20:00,"15,6","4,5"
2023-01-23 21:00,"11,1","4,1"
2023-01-23 22:00,"9,6","4,5"
2023-01-23 23:00,"10,7","5,5"
2023-01-23 24:00,"13,5","7,2"
2023-01-24 01:00,10,"6,5"
2023-01-24 02:00,"8,6",6
2023-01-24 03:00,"6,9","5,5"
2023-01-24 04:00,"6,1","5,2"
2023-01-24 05:00,"6,3","4,8"
