Fecha Hora,PM10 [µg/m3],PM2.5 [µg/m3]
2023-01-23 01:00,11,10
2023-01-23 02:00,10,7
2023-01-23 03:00,17,6
2023-01-23 04:00,10,4
2023-01-23 05:00,14,6
2023-01-23 06:00,28,8
2023-01-23 07:00,34,12
2023-01-23 08:00,23,14
2023-01-23 09:00,13,11
2023-01-23 10:00,14,7
2023-01-23 11:00,18,6
2023-01-23 12:00,17,4
2023-01-23 13:00,14,
2023-01-23 14:00,11,3
2023-01-23 15:00,10,7
2023-01-23 16:00,10,9
2023-01-23 17:00,14,5
2023-01-23 18:00,17,6
2023-01-23 19:00,10,8
2023-01-23 20:00,12,8
2023-01-23 21:00,13,5
2023-01-23 22:00,9,3
2023-01-23 23:00,4,1
2023-01-23 24:00,7,5
2023-01-23 01:00,11,10
2023-01-23 02:00,10,7
2023-01-23 03:00,17,6
2023-01-23 04:00,10,4
2023-01-23 05:00,14,6
2023-01-23 06:00,28,8
2023-01-23 07:00,34,12
2023-01-23 08:00,23,14
2023-01-23 09:00,13,11
2023-01-23 10:00,14,7
2023-01-23 11:00,18,6
2023-01-23 12:00,17,4
2023-01-23 13:00,14,
2023-01-23 14:00,11,3
2023-01-23 15:00,10,7
2023-01-23 16:00,10,9
2023-01-23 17:00,14,5
2023-01-23 18:00,17,6
2023-01-23 19:00,10,8
2023-01-23 20:00,12,8
2023-01-23 21:00,13,5
2023-01-23 22:00,9,3
2023-01-23 23:00,4,1
2023-01-23 24:00,7,5
2023-01-24 01:00,4,3
2023-01-24 02:00,3,0
2023-01-24 03:00,6,6
2023-01-24 04:00,7,7
2023-01-24 05:00,9,4
2023-01-24 06:00,20,2
2023-01-24 07:00,21,10
2023-01-24 08:00,30,9
2023-01-24 09:00,18,18
2023-01-24 10:00,11,7
2023-01-24 11:00,,15
2023-01-24 12:00,,17
2023-01-24 13:00,11,11
2023-01-24 14:00,8,8
2023-01-24 15:00,9,9
2023-01-24 16:00,10,10
2023-01-24 17:00,13,7
2023-01-24 18:00,18,7
2023-01-24 19:00,14,6
2023-01-24 20:00,16,5
2023-01-24 21:00,21,18
2023-01-24 22:00,12,8
2023-01-24 23:00,18,10
2023-01-24 24:00,22,11
2023-01-25 01:00,13,13
2023-01-25 02:00,14,7
2023-01-25 03:00,9,3
2023-01-25 04:00,8,0
2023-01-25 05:00,10,4
2023-01-25 06:00,11,7
2023-01-25 07:00,19,13
2023-01-25 08:00,20,14
2023-01-25 09:00,24,11
2023-01-25 10:00,,16
2023-01-25 11:00,14,7
2023-01-25 12:00,53,7
2023-01-25 13:00,41,24
2023-01-25 14:00,46,25
2023-01-25 15:00,42,19
2023-01-25 16:00,47,11
2023-01-25 17:00,32,18
2023-01-25 18:00,43,8
2023-01-25 19:00,23,22
2023-01-25 20:00,25,9
2023-01-25 21:00,12,12
2023-01-25 22:00,21,12
2023-01-25 23:00,16,16
2023-01-25 24:00,17,6
2023-01-26 01:00,,17
2023-01-26 02:00,14,7
2023-01-26 03:00,13,7
2023-01-26 04:00,13,9
2023-01-26 05:00,13,11
2023-01-26 06:00,15,12
2023-01-26 07:00,17,11
2023-01-26 08:00,24,13
2023-01-26 09:00,35,16
2023-01-26 10:00,28,23
2023-01-26 11:00,,16
2023-01-26 12:00,8,5
2023-01-26 13:00,12,12
2023-01-26 14:00,11,7
2023-01-26 15:00,13,4
2023-01-26 16:00,20,20
2023-01-26 17:00,65,42
2023-01-26 18:00,54,24
2023-01-26 19:00,48,27
2023-01-26 20:00,21,21
2023-01-26 21:00,32,16
2023-01-26 22:00,39,23
2023-01-26 23:00,36,17
2023-01-26 24:00,27,25
2023-01-27 01:00,29,14
2023-01-27 02:00,25,20
2023-01-27 03:00,19,13
2023-01-27 04:00,19,19
2023-01-27 05:00,27,14
2023-01-27 06:00,34,17
2023-01-27 07:00,30,22
2023-01-27 08:00,26,26
2023-01-27 09:00,70,22
2023-01-27 10:00,83,37
2023-01-27 11:00,77,52
2023-01-27 12:00,,51
2023-01-27 13:00,37,31
2023-01-27 14:00,64,29
2023-01-27 15:00,75,37
2023-01-27 16:00,86,34
2023-01-27 17:00,78,33
2023-01-27 18:00,66,39
2023-01-27 19:00,59,42
2023-01-27 20:00,30,27
2023-01-27 21:00,24,13
2023-01-27 22:00,25,13
2023-01-27 23:00,22,16
2023-01-27 24:00,39,23
2023-01-28 01:00,34,12
2023-01-28 02:00,29,29
2023-01-28 03:00,33,24
2023-01-28 04:00,33,29
2023-01-28 05:00,40,29
2023-01-28 06:00,31,31
2023-01-28 07:00,25,22
2023-01-28 08:00,34,16
2023-01-28 09:00,72,30
2023-01-28 10:00,71,49
2023-01-28 11:00,70,37
2023-01-28 12:00,,53
2023-01-28 13:00,12,9
2023-01-28 14:00,12,12
2023-01-28 15:00,10,8
2023-01-28 16:00,33,5
2023-01-28 17:00,29,14
2023-01-28 18:00,44,11
2023-01-28 19:00,21,15
2023-01-28 20:00,23,14
2023-01-28 21:00,13,10
2023-01-28 22:00,,21
2023-01-28 23:00,17,11
2023-01-28 24:00,18,9
2023-01-29 01:00,,13
2023-01-29 02:00,8,8
2023-01-29 03:00,9,5
2023-01-29 04:00,6,5
2023-01-29 05:00,11,11
2023-01-29 06:00,11,9
2023-01-29 07:00,14,2
2023-01-29 08:00,18,0
2023-01-29 09:00,51,4
2023-01-29 10:00,72,37
2023-01-29 11:00,,42
2023-01-29 12:00,15,2
2023-01-29 13:00,10,5
2023-01-29 14:00,12,10
2023-01-29 15:00,10,10
2023-01-29 16:00,16,7
2023-01-29 17:00,13,6
2023-01-29 18:00,19,3
2023-01-29 19:00,19,1
2023-01-29 20:00,14,1
2023-01-29 21:00,13,2
2023-01-29 22:00,12,6
2023-01-29 23:00,,17
2023-01-29 24:00,,18
2023-01-30 01:00,17,4
2023-01-30 02:00,20,20
2023-01-30 03:00,18,18
2023-01-30 04:00,22,17
2023-01-30 05:00,23,17
2023-01-30 06:00,28,12
2023-01-30 07:00,33,19
2023-01-30 08:00,47,17
2023-01-30 09:00,66,30
2023-01-30 10:00,112,34
2023-01-30 11:00,82,63
2023-01-30 12:00,65,48
2023-01-30 13:00,76,42
2023-01-30 14:00,75,38
2023-01-30 15:00,70,38
2023-01-30 16:00,68,39
2023-01-30 17:00,51,33
2023-01-30 18:00,63,26
2023-01-30 19:00,70,30
2023-01-30 20:00,43,30
2023-01-30 21:00,29,18
2023-01-30 22:00,24,19
2023-01-30 23:00,29,15
2023-01-30 24:00,24,21
2023-01-31 01:00,20,20
2023-01-31 02:00,25,16
2023-01-31 03:00,26,22
2023-01-31 04:00,33,16
2023-01-31 05:00,30,22
2023-01-31 06:00,22,21
2023-01-31 07:00,28,18
2023-01-31 08:00,41,24
2023-01-31 09:00,75,27
2023-01-31 10:00,101,45
2023-01-31 11:00,120,61
2023-01-31 12:00,86,74
2023-01-31 13:00,66,49
2023-01-31 14:00,62,34
2023-01-31 15:00,67,30
2023-01-31 16:00,67,40
2023-01-31 17:00,60,33
