Fecha Hora,PM10 [µg/m3],PM2.5 [µg/m3]
2023-01-23 01:00,"23,2","4,2"
2023-01-23 02:00,15,"3,9"
2023-01-23 03:00,"26,3","5,5"
2023-01-23 04:00,"15,5","6,7"
2023-01-23 05:00,"16,4","5,8"
2023-01-23 06:00,"42,2","10,2"
2023-01-23 07:00,"23,6","14,1"
2023-01-23 08:00,"25,4","11,4"
2023-01-23 09:00,"26,7","13,8"
2023-01-23 10:00,"19,7","10,6"
2023-01-23 11:00,"25,5","13,2"
2023-01-23 12:00,"22,8",10
2023-01-23 13:00,"14,9",8
2023-01-23 14:00,"26,7","6,9"
2023-01-23 15:00,29,"5,8"
2023-01-23 16:00,16,"4,2"
2023-01-23 17:00,"10,8","3,5"
2023-01-23 18:00,"13,3","2,8"
2023-01-23 19:00,"29,3","5,8"
2023-01-23 20:00,"15,1","4,6"
2023-01-23 21:00,"9,6","3,7"
2023-01-23 22:00,"7,3","3,3"
2023-01-23 23:00,"15,4","2,9"
2023-01-23 24:00,"9,6","2,7"
2023-01-23 01:00,"23,2","4,2"
2023-01-23 02:00,15,"3,9"
2023-01-23 03:00,"26,3","5,5"
2023-01-23 04:00,"15,5","6,7"
2023-01-23 05:00,"16,4","5,8"
2023-01-23 06:00,"42,2","10,2"
2023-01-23 07:00,"23,6","14,1"
2023-01-23 08:00,"25,4","11,4"
2023-01-23 09:00,"26,7","13,8"
2023-01-23 10:00,"19,7","10,6"
2023-01-23 11:00,"25,5","13,2"
2023-01-23 12:00,"22,8",10
2023-01-23 13:00,"14,9",8
2023-01-23 14:00,"26,7","6,9"
2023-01-23 15:00,29,"5,8"
2023-01-23 16:00,16,"4,2"
2023-01-23 17:00,"10,8","3,5"
2023-01-23 18:00,"13,3","2,8"
2023-01-23 19:00,"29,3","5,8"
2023-01-23 20:00,"15,1","4,6"
2023-01-23 21:00,"9,6","3,7"
2023-01-23 22:00,"7,3","3,3"
2023-01-23 23:00,"15,4","2,9"
2023-01-23 24:00,"9,6","2,7"
2023-01-24 01:00,5,"3,7"
2023-01-24 02:00,"4,2","3,5"
2023-01-24 03:00,"3,5","3,5"
2023-01-24 04:00,7,"3,5"
2023-01-24 05:00,"18,5","3,5"
2023-01-24 06:00,"15,2","3,8"
2023-01-24 07:00,"10,2","3,9"
2023-01-24 08:00,"23,1","3,8"
2023-01-24 09:00,"14,1","3,8"
2023-01-24 10:00,14,"3,9"
2023-01-24 11:00,"14,9","4,6"
2023-01-24 12:00,"24,5","4,5"
2023-01-24 13:00,"14,8","4,3"
2023-01-24 14:00,"28,5","3,7"
2023-01-24 15:00,"31,9","3,8"
2023-01-24 16:00,"27,4","4,4"
2023-01-24 17:00,"20,2","4,1"
2023-01-24 18:00,"11,5",4
2023-01-24 19:00,"10,8","3,8"
2023-01-24 20:00,"21,1","3,7"
2023-01-24 21:00,"17,2","3,8"
2023-01-24 22:00,"18,7","3,7"
2023-01-24 23:00,"18,7","3,8"
2023-01-24 24:00,"27,2",4
2023-01-25 01:00,"22,7","4,2"
2023-01-25 02:00,"19,2","4,5"
2023-01-25 03:00,23,"4,5"
2023-01-25 04:00,"20,2","5,3"
2023-01-25 05:00,,
2023-01-25 06:00,,
2023-01-25 07:00,,
2023-01-25 08:00,,
2023-01-25 09:00,,
2023-01-25 10:00,,
2023-01-25 11:00,,
2023-01-25 12:00,,
2023-01-25 13:00,,
2023-01-25 14:00,,
2023-01-25 15:00,,
2023-01-25 16:00,,
2023-01-25 17:00,,
2023-01-25 18:00,,
2023-01-25 19:00,,
2023-01-25 20:00,,
2023-01-25 21:00,,
2023-01-25 22:00,,
2023-01-25 23:00,,
2023-01-25 24:00,,
2023-01-26 01:00,,
2023-01-26 02:00,,
2023-01-26 03:00,,
2023-01-26 04:00,,
2023-01-26 05:00,,
2023-01-26 06:00,,
2023-01-26 07:00,,
2023-01-26 08:00,,
2023-01-26 09:00,69,"18,1"
2023-01-26 10:00,"49,2","19,1"
2023-01-26 11:00,"27,2","17,3"
2023-01-26 12:00,,"24,5"
2023-01-26 13:00,,"17,3"
2023-01-26 14:00,,"12,8"
2023-01-26 15:00,"40,4","9,6"
2023-01-26 16:00,"50,1","7,5"
2023-01-26 17:00,"40,8","5,6"
2023-01-26 18:00,"41,4","6,9"
2023-01-26 19:00,"41,5","5,2"
2023-01-26 20:00,45,"6,8"
2023-01-26 21:00,35,"5,4"
2023-01-26 22:00,"38,2",6
2023-01-26 23:00,"25,1","5,2"
2023-01-26 24:00,"42,3","10,2"
2023-01-27 01:00,"41,6","19,6"
2023-01-27 02:00,"67,4","15,9"
2023-01-27 03:00,"79,3","19,5"
2023-01-27 04:00,"79,4",21
2023-01-27 05:00,,
2023-01-27 06:00,,
2023-01-27 07:00,,
2023-01-27 08:00,,
2023-01-27 09:00,,
2023-01-27 10:00,,
2023-01-27 11:00,,
2023-01-27 12:00,,
2023-01-27 13:00,,
2023-01-27 14:00,,
2023-01-27 15:00,,
2023-01-27 16:00,,
2023-01-27 17:00,,
2023-01-27 18:00,,
2023-01-27 19:00,,
2023-01-27 20:00,,
2023-01-27 21:00,,
2023-01-27 22:00,,
2023-01-27 23:00,,
2023-01-27 24:00,,
2023-01-28 01:00,,
2023-01-28 02:00,,
2023-01-28 03:00,,
2023-01-28 04:00,,
2023-01-28 05:00,,
