,PM10 [µg/m3],PM2.5 [µg/m3]
2023-01-23 01:00,"21,8","6,8"
2023-01-23 02:00,"25,7","6,1"
2023-01-23 03:00,"21,8","14,1"
2023-01-23 04:00,"15,6","11,7"
2023-01-23 05:00,"17,2","9,4"
2023-01-23 06:00,"20,9",13
2023-01-23 07:00,"37,6","24,4"
2023-01-23 08:00,"41,2","21,5"
2023-01-23 09:00,"52,6","15,6"
2023-01-23 10:00,"39,4","14,4"
2023-01-23 11:00,"28,7","10,6"
2023-01-23 12:00,"40,6","9,1"
2023-01-23 13:00,"29,5","8,9"
2023-01-23 14:00,"36,2","7,4"
2023-01-23 15:00,"29,8","15,6"
2023-01-23 16:00,"23,9","12,3"
2023-01-23 17:00,"18,8","9,1"
2023-01-23 18:00,14,"10,2"
2023-01-23 19:00,"12,5","9,8"
2023-01-23 20:00,"15,9","7,3"
2023-01-23 21:00,"15,1","6,5"
2023-01-23 22:00,"12,7","5,5"
2023-01-23 23:00,12,"6,6"
2023-01-23 24:00,"8,9","5,5"
2023-01-23 01:00,"21,8","6,8"
2023-01-23 02:00,"25,7","6,1"
2023-01-23 03:00,"21,8","14,1"
2023-01-23 04:00,"15,6","11,7"
2023-01-23 05:00,"17,2","9,4"
2023-01-23 06:00,"20,9",13
2023-01-23 07:00,"37,6","24,4"
2023-01-23 08:00,"41,2","21,5"
2023-01-23 09:00,"52,6","15,6"
2023-01-23 10:00,"39,4","14,4"
2023-01-23 11:00,"28,7","10,6"
2023-01-23 12:00,"40,6","9,1"
2023-01-23 13:00,"29,5","8,9"
2023-01-23 14:00,"36,2","7,4"
2023-01-23 15:00,"29,8","15,6"
2023-01-23 16:00,"23,9","12,3"
2023-01-23 17:00,"18,8","9,1"
2023-01-23 18:00,14,"10,2"
2023-01-23 19:00,"12,5","9,8"
2023-01-23 20:00,"15,9","7,3"
2023-01-23 21:00,"15,1","6,5"
2023-01-23 22:00,"12,7","5,5"
2023-01-23 23:00,12,"6,6"
2023-01-23 24:00,"8,9","5,5"
2023-01-24 01:00,"7,4","4,9"
2023-01-24 02:00,"18,8","4,6"
2023-01-24 03:00,"13,1","4,5"
2023-01-24 04:00,"10,4","4,1"
2023-01-24 05:00,"15,3","4,1"
2023-01-24 06:00,"11,1","3,9"
2023-01-24 07:00,"14,1","3,6"
2023-01-24 08:00,"17,6","3,4"
2023-01-24 09:00,"16,7","4,1"
2023-01-24 10:00,"17,7","4,1"
2023-01-24 11:00,"21,1","4,1"
2023-01-24 12:00,"23,7","4,7"
2023-01-24 13:00,"17,8","4,6"
2023-01-24 14:00,"18,8","4,7"
2023-01-24 15:00,"13,3",11
2023-01-24 16:00,"10,1",10
2023-01-24 17:00,"13,5","8,9"
2023-01-24 18:00,"10,3",7
2023-01-24 19:00,10,"5,7"
2023-01-24 20:00,"6,9",5
2023-01-24 21:00,"16,3","4,9"
2023-01-24 22:00,"23,9",5
2023-01-24 23:00,"18,2",6
2023-01-24 24:00,"19,9","4,9"
2023-01-25 01:00,"24,5","11,4"
2023-01-25 02:00,"26,9","8,6"
2023-01-25 03:00,"34,5","7,2"
2023-01-25 04:00,"24,9","13,8"
2023-01-25 05:00,"30,2","13,1"
2023-01-25 06:00,"39,2",26
2023-01-25 07:00,42,"18,9"
2023-01-25 08:00,45,24
2023-01-25 09:00,"48,2","26,2"
2023-01-25 10:00,"42,2","18,9"
