,PM10 [µg/m3],PM2.5 [µg/m3]
2024-01-22 01:00,"24,6",
2024-01-22 02:00,"38,2",
2024-01-22 03:00,"35,3",
2024-01-22 04:00,"25,4",
2024-01-22 05:00,"21,6",
2024-01-22 06:00,"23,5",
2024-01-22 07:00,"38,1",
2024-01-22 08:00,"32,2",
2024-01-22 09:00,"34,7",
2024-01-22 10:00,"33,7",
2024-01-22 11:00,29,
2024-01-22 12:00,"21,7",
2024-01-22 13:00,"23,8",
2024-01-22 14:00,"33,1",
2024-01-22 15:00,"23,1",
2024-01-22 16:00,"21,8",
2024-01-22 17:00,"16,1",
2024-01-22 18:00,"15,7",
2024-01-22 19:00,"10,7",
2024-01-22 20:00,"14,4",
2024-01-22 21:00,"18,9",
2024-01-22 22:00,"14,6",
2024-01-22 23:00,"48,8",
2024-01-22 24:00,"53,2",
2024-01-22 01:00,"24,6",
2024-01-22 02:00,"38,2",
2024-01-22 03:00,"35,3",
2024-01-22 04:00,"25,4",
2024-01-22 05:00,"21,6",
2024-01-22 06:00,"23,5",
2024-01-22 07:00,"38,1",
2024-01-22 08:00,"32,2",
2024-01-22 09:00,"34,7",
2024-01-22 10:00,"33,7",
2024-01-22 11:00,29,
2024-01-22 12:00,"21,7",
2024-01-22 13:00,"23,8",
2024-01-22 14:00,"33,1",
2024-01-22 15:00,"23,1",
2024-01-22 16:00,"21,8",
2024-01-22 17:00,"16,1",
2024-01-22 18:00,"15,7",
2024-01-22 19:00,"10,7",
2024-01-22 20:00,"14,4",
2024-01-22 21:00,"18,9",
2024-01-22 22:00,"14,6",
2024-01-22 23:00,"48,8",
2024-01-22 24:00,"53,2",
2024-01-23 01:00,"51,9",
2024-01-23 02:00,"50,7",
2024-01-23 03:00,"47,6",
2024-01-23 04:00,"40,3",
2024-01-23 05:00,"40,9",
2024-01-23 06:00,"36,6",
2024-01-23 07:00,53,
2024-01-23 08:00,"53,3",
2024-01-23 09:00,"62,7",
2024-01-23 10:00,"70,8",
2024-01-23 11:00,50,
2024-01-23 12:00,"36,7",
2024-01-23 13:00,"28,3",
2024-01-23 14:00,"34,5",
2024-01-23 15:00,"24,8",
2024-01-23 16:00,"25,2",
2024-01-23 17:00,"18,9",
2024-01-23 18:00,"24,8",
2024-01-23 19:00,17,
2024-01-23 20:00,"15,6",
2024-01-23 21:00,"15,3",
2024-01-23 22:00,26,
2024-01-23 23:00,"45,3",
2024-01-23 24:00,"40,3",
2024-01-24 01:00,"37,2",
2024-01-24 02:00,"50,1",
2024-01-24 03:00,"56,3",
2024-01-24 04:00,"60,5",
2024-01-24 05:00,"77,1",
2024-01-24 06:00,"83,6",
2024-01-24 07:00,"96,5",
2024-01-24 08:00,"108,4",
2024-01-24 09:00,"111,5",
2024-01-24 10:00,"92,9",
2024-01-24 11:00,"62,3",
2024-01-24 12:00,"43,7",
2024-01-24 13:00,31,
2024-01-24 14:00,"38,1",
2024-01-24 15:00,"28,4",
2024-01-24 16:00,"26,8",
2024-01-24 17:00,"25,8",
2024-01-24 18:00,"26,6",
2024-01-24 19:00,"18,2",
2024-01-24 20:00,"14,2",
2024-01-24 21:00,"24,2",
2024-01-24 22:00,"32,2",
2024-01-24 23:00,"30,5",
2024-01-24 24:00,"43,5",
2024-01-25 01:00,"35,3",
2024-01-25 02:00,"44,6",
2024-01-25 03:00,"48,1",
2024-01-25 04:00,"47,4",
2024-01-25 05:00,"51,6",
2024-01-25 06:00,"49,6",
2024-01-25 07:00,"64,6",
2024-01-25 08:00,"63,9",
2024-01-25 09:00,92,
2024-01-25 10:00,"113,6",
2024-01-25 11:00,"97,4",
2024-01-25 12:00,"64,1",
2024-01-25 13:00,"47,5",
2024-01-25 14:00,"57,6",
2024-01-25 15:00,"43,2",
2024-01-25 16:00,"59,3",
2024-01-25 17:00,"69,6",
2024-01-25 18:00,"79,7",
2024-01-25 19:00,"75,9",
2024-01-25 20:00,"72,1",
2024-01-25 21:00,75,
