Fecha Hora,PM10 [µg/m3],PM2.5 [µg/m3]
2024-01-22 01:00,24,17
2024-01-22 02:00,27,16
2024-01-22 03:00,25,20
2024-01-22 04:00,35,19
2024-01-22 05:00,39,20
2024-01-22 06:00,66,38
2024-01-22 07:00,58,27
2024-01-22 08:00,68,28
2024-01-22 09:00,72,32
2024-01-22 10:00,52,22
2024-01-22 11:00,44,31
2024-01-22 12:00,38,25
2024-01-22 13:00,45,20
2024-01-22 14:00,49,30
2024-01-22 15:00,51,26
2024-01-22 16:00,41,24
2024-01-22 17:00,36,19
2024-01-22 18:00,30,30
2024-01-22 19:00,,45
2024-01-22 20:00,40,26
2024-01-22 21:00,56,39
2024-01-22 22:00,47,36
2024-01-22 23:00,51,17
2024-01-22 24:00,20,8
2024-01-22 01:00,24,17
2024-01-22 02:00,27,16
2024-01-22 03:00,25,20
2024-01-22 04:00,35,19
2024-01-22 05:00,39,20
2024-01-22 06:00,66,38
2024-01-22 07:00,58,27
2024-01-22 08:00,68,28
2024-01-22 09:00,72,32
2024-01-22 10:00,52,22
2024-01-22 11:00,44,31
2024-01-22 12:00,38,25
2024-01-22 13:00,45,20
2024-01-22 14:00,49,30
2024-01-22 15:00,51,26
2024-01-22 16:00,41,24
2024-01-22 17:00,36,19
2024-01-22 18:00,30,30
2024-01-22 19:00,,45
2024-01-22 20:00,40,26
2024-01-22 21:00,56,39
2024-01-22 22:00,47,36
2024-01-22 23:00,51,17
2024-01-22 24:00,20,8
2024-01-23 01:00,21,19
2024-01-23 02:00,28,28
2024-01-23 03:00,25,21
2024-01-23 04:00,44,12
2024-01-23 05:00,52,34
2024-01-23 06:00,69,42
2024-01-23 07:00,83,46
2024-01-23 08:00,87,35
2024-01-23 09:00,78,28
2024-01-23 10:00,43,15
2024-01-23 11:00,41,12
2024-01-23 12:00,74,32
2024-01-23 13:00,65,31
2024-01-23 14:00,46,38
2024-01-23 15:00,49,32
2024-01-23 16:00,50,31
2024-01-23 17:00,80,45
2024-01-23 18:00,56,39
2024-01-23 19:00,37,37
2024-01-23 20:00,46,33
2024-01-23 21:00,66,32
2024-01-23 22:00,49,19
2024-01-23 23:00,33,17
2024-01-23 24:00,57,21
2024-01-24 01:00,100,58
2024-01-24 02:00,61,35
2024-01-24 03:00,62,30
2024-01-24 04:00,74,27
2024-01-24 05:00,110,55
2024-01-24 06:00,155,107
2024-01-24 07:00,186,80
2024-01-24 08:00,106,50
2024-01-24 09:00,109,46
2024-01-24 10:00,108,48
2024-01-24 11:00,104,55
2024-01-24 12:00,141,78
2024-01-24 13:00,98,81
2024-01-24 14:00,48,41
2024-01-24 15:00,38,27
2024-01-24 16:00,27,17
2024-01-24 17:00,48,27
2024-01-24 18:00,40,27
2024-01-24 19:00,,22
2024-01-24 20:00,53,27
2024-01-24 21:00,130,84
2024-01-24 22:00,130,106
2024-01-24 23:00,78,43
2024-01-24 24:00,36,20
2024-01-25 01:00,47,24
2024-01-25 02:00,86,33
2024-01-25 03:00,50,14
2024-01-25 04:00,62,20
2024-01-25 05:00,101,52
2024-01-25 06:00,122,66
2024-01-25 07:00,151,65
2024-01-25 08:00,191,104
2024-01-25 09:00,166,84
2024-01-25 10:00,206,119
2024-01-25 11:00,140,90
2024-01-25 12:00,76,40
2024-01-25 13:00,71,41
2024-01-25 14:00,114,42
2024-01-25 15:00,135,60
2024-01-25 16:00,94,54
2024-01-25 17:00,86,48
2024-01-25 18:00,67,44
2024-01-25 19:00,57,35
2024-01-25 20:00,86,44
2024-01-25 21:00,90,51
2024-01-25 22:00,71,42
2024-01-25 23:00,86,43
2024-01-25 24:00,117,37
2024-01-26 01:00,91,41
2024-01-26 02:00,116,52
2024-01-26 03:00,109,51
2024-01-26 04:00,143,68
2024-01-26 05:00,143,75
2024-01-26 06:00,137,71
2024-01-26 07:00,158,83
2024-01-26 08:00,169,79
2024-01-26 09:00,121,70
2024-01-26 10:00,113,55
2024-01-26 11:00,108,58
2024-01-26 12:00,81,48
2024-01-26 13:00,77,38
2024-01-26 14:00,121,74
2024-01-26 15:00,132,69
2024-01-26 16:00,121,57
2024-01-26 17:00,88,51
2024-01-26 18:00,65,36
2024-01-26 19:00,40,33
2024-01-26 20:00,75,38
2024-01-26 21:00,90,37
2024-01-26 22:00,93,45
2024-01-26 23:00,64,35
2024-01-26 24:00,55,20
2024-01-27 01:00,58,30
2024-01-27 02:00,64,27
2024-01-27 03:00,80,29
2024-01-27 04:00,120,59
2024-01-27 05:00,122,63
2024-01-27 06:00,164,102
2024-01-27 07:00,122,69
2024-01-27 08:00,146,67
2024-01-27 09:00,105,49
2024-01-27 10:00,115,60
2024-01-27 11:00,86,44
2024-01-27 12:00,107,61
2024-01-27 13:00,108,71
2024-01-27 14:00,97,50
2024-01-27 15:00,81,44
2024-01-27 16:00,73,44
2024-01-27 17:00,54,35
2024-01-27 18:00,51,32
2024-01-27 19:00,43,34
2024-01-27 20:00,55,32
2024-01-27 21:00,80,41
2024-01-27 22:00,106,52
2024-01-27 23:00,83,54
2024-01-27 24:00,76,47
2024-01-28 01:00,89,44
2024-01-28 02:00,67,43
2024-01-28 03:00,70,38
2024-01-28 04:00,79,46
2024-01-28 05:00,75,41
2024-01-28 06:00,78,44
2024-01-28 07:00,76,40
2024-01-28 08:00,111,51
2024-01-28 09:00,134,50
2024-01-28 10:00,101,45
2024-01-28 11:00,80,39
2024-01-28 12:00,73,45
2024-01-28 13:00,71,42
2024-01-28 14:00,63,32
2024-01-28 15:00,71,38
2024-01-28 16:00,61,39
2024-01-28 17:00,48,35
2024-01-28 18:00,38,31
2024-01-28 19:00,,32
2024-01-28 20:00,45,37
2024-01-28 21:00,66,38
2024-01-28 22:00,82,43
2024-01-28 23:00,80,42
2024-01-28 24:00,67,37
2024-01-29 01:00,56,25
2024-01-29 02:00,54,30
2024-01-29 03:00,67,43
2024-01-29 04:00,68,52
2024-01-29 05:00,94,60
2024-01-29 06:00,86,52
2024-01-29 07:00,100,48
2024-01-29 08:00,110,44
2024-01-29 09:00,84,33
2024-01-29 10:00,69,28
2024-01-29 11:00,56,30
2024-01-29 12:00,99,74
2024-01-29 13:00,111,62
2024-01-29 14:00,102,59
2024-01-29 15:00,96,48
2024-01-29 16:00,92,39
2024-01-29 17:00,76,38
2024-01-29 18:00,58,22
2024-01-29 19:00,53,39
2024-01-29 20:00,72,41
2024-01-29 21:00,99,46
2024-01-29 22:00,64,46
2024-01-29 23:00,83,51
2024-01-29 24:00,79,43
2024-01-30 01:00,105,31
2024-01-30 02:00,56,24
2024-01-30 03:00,60,39
2024-01-30 04:00,79,27
