Fecha Hora,PM10 [µg/m3],PM2.5 [µg/m3]
2023-01-23 01:00,9,9
2023-01-23 02:00,"10,7",9
2023-01-23 03:00,"8,9",9
2023-01-23 04:00,11,11
2023-01-23 05:00,,11
2023-01-23 06:00,"13,5",8
2023-01-23 07:00,"11,7",6
2023-01-23 08:00,"23,7",20
2023-01-23 09:00,"29,7",18
2023-01-23 10:00,"26,3",8
2023-01-23 11:00,"20,6",5
2023-01-23 12:00,"21,8",3
2023-01-23 13:00,"16,5",4
2023-01-23 14:00,"12,4",5
2023-01-23 15:00,"13,7",2
2023-01-23 16:00,"10,7",2
2023-01-23 17:00,"7,8",4
2023-01-23 18:00,8,8
2023-01-23 19:00,"4,1",4
2023-01-23 20:00,"3,1",2
2023-01-23 21:00,4,4
2023-01-23 22:00,,6
2023-01-23 23:00,,4
2023-01-23 24:00,"2,1",2
2023-01-23 01:00,9,9
2023-01-23 02:00,"10,7",9
2023-01-23 03:00,"8,9",9
2023-01-23 04:00,11,11
2023-01-23 05:00,,11
2023-01-23 06:00,"13,5",8
2023-01-23 07:00,"11,7",6
2023-01-23 08:00,"23,7",20
2023-01-23 09:00,"29,7",18
2023-01-23 10:00,"26,3",8
2023-01-23 11:00,"20,6",5
2023-01-23 12:00,"21,8",3
2023-01-23 13:00,"16,5",4
2023-01-23 14:00,"12,4",5
2023-01-23 15:00,"13,7",2
2023-01-23 16:00,"10,7",2
2023-01-23 17:00,"7,8",4
2023-01-23 18:00,8,8
2023-01-23 19:00,"4,1",4
2023-01-23 20:00,"3,1",2
2023-01-23 21:00,4,4
2023-01-23 22:00,,6
2023-01-23 23:00,,4
2023-01-23 24:00,"2,1",2
2023-01-24 01:00,4,4
2023-01-24 02:00,5,5
2023-01-24 03:00,"3,8",2
2023-01-24 04:00,"3,4",0
2023-01-24 05:00,"3,5",3
2023-01-24 06:00,"4,1",4
2023-01-24 07:00,,
2023-01-24 08:00,,9
2023-01-24 09:00,,7
2023-01-24 10:00,,7
2023-01-24 11:00,7,7
2023-01-24 12:00,"18,1",4
2023-01-24 13:00,"13,8",2
2023-01-24 14:00,"12,6",2
2023-01-24 15:00,"9,1",1
2023-01-24 16:00,"6,5",1
2023-01-24 17:00,5,5
2023-01-24 18:00,6,6
2023-01-24 19:00,,4
2023-01-24 20:00,6,3
2023-01-24 21:00,,6
2023-01-24 22:00,,8
2023-01-24 23:00,9,9
2023-01-24 24:00,"7,9",6
2023-01-25 01:00,"6,8",6
2023-01-25 02:00,9,9
2023-01-25 03:00,"10,2",6
2023-01-25 04:00,,12
2023-01-25 05:00,,10
2023-01-25 06:00,10,10
