Fecha Hora,PM10 [µg/m3],PM2.5 [µg/m3]
2024-01-22 01:00,,
2024-01-22 02:00,,
2024-01-22 03:00,"5,7","4,2"
2024-01-22 04:00,"13,1","4,3"
2024-01-22 05:00,"10,1","4,3"
2024-01-22 06:00,10,"4,6"
2024-01-22 07:00,"20,1","5,5"
2024-01-22 08:00,"17,1","5,2"
2024-01-22 09:00,"28,9","6,6"
2024-01-22 10:00,"20,3","10,3"
2024-01-22 11:00,"15,7","15,7"
2024-01-22 12:00,"11,4","11,3"
2024-01-22 13:00,"14,8","11,8"
2024-01-22 14:00,"19,9","8,8"
2024-01-22 15:00,"13,8","6,1"
2024-01-22 16:00,"9,6","8,3"
2024-01-22 17:00,"6,9","5,7"
2024-01-22 18:00,"14,3","4,4"
2024-01-22 19:00,"10,3","3,9"
2024-01-22 20:00,,
2024-01-22 21:00,,
2024-01-22 22:00,,
2024-01-22 23:00,,
2024-01-22 24:00,,
2024-01-22 01:00,,
2024-01-22 02:00,,
2024-01-22 03:00,"5,7","4,2"
2024-01-22 04:00,"13,1","4,3"
2024-01-22 05:00,"10,1","4,3"
2024-01-22 06:00,10,"4,6"
2024-01-22 07:00,"20,1","5,5"
2024-01-22 08:00,"17,1","5,2"
2024-01-22 09:00,"28,9","6,6"
2024-01-22 10:00,"20,3","10,3"
2024-01-22 11:00,"15,7","15,7"
2024-01-22 12:00,"11,4","11,3"
2024-01-22 13:00,"14,8","11,8"
2024-01-22 14:00,"19,9","8,8"
2024-01-22 15:00,"13,8","6,1"
2024-01-22 16:00,"9,6","8,3"
2024-01-22 17:00,"6,9","5,7"
2024-01-22 18:00,"14,3","4,4"
2024-01-22 19:00,"10,3","3,9"
2024-01-22 20:00,,
2024-01-22 21:00,,
2024-01-22 22:00,,
2024-01-22 23:00,,
2024-01-22 24:00,,
2024-01-23 01:00,"15,5","3,7"
2024-01-23 02:00,"11,5","8,4"
2024-01-23 03:00,"12,9","6,9"
2024-01-23 04:00,"13,5","8,8"
2024-01-23 05:00,"21,4","21,4"
2024-01-23 06:00,"19,4","15,1"
2024-01-23 07:00,"24,6","14,3"
2024-01-23 08:00,18,"12,2"
2024-01-23 09:00,"23,8",23
2024-01-23 10:00,"40,3","21,5"
2024-01-23 11:00,29,"19,8"
2024-01-23 12:00,"28,4","17,5"
2024-01-23 13:00,21,"20,5"
2024-01-23 14:00,"30,3","16,1"
2024-01-23 15:00,"21,7","15,6"
2024-01-23 16:00,"20,3","11,1"
2024-01-23 17:00,"14,4","8,7"
2024-01-23 18:00,"15,8",6
2024-01-23 19:00,"10,9","8,5"
2024-01-23 20:00,"12,1","7,2"
2024-01-23 21:00,"8,4","5,3"
2024-01-23 22:00,"10,1","6,8"
2024-01-23 23:00,"12,3","8,1"
2024-01-23 24:00,"23,8","10,6"
2024-01-24 01:00,"22,1","7,9"
2024-01-24 02:00,"16,1","8,9"
2024-01-24 03:00,"19,3","9,1"
2024-01-24 04:00,"21,4",14
2024-01-24 05:00,"16,3","10,5"
2024-01-24 06:00,"25,3","11,2"
2024-01-24 07:00,36,23
2024-01-24 08:00,47,"22,2"
2024-01-24 09:00,"65,3","40,4"
2024-01-24 10:00,63,"29,7"
2024-01-24 11:00,"53,9","40,1"
2024-01-24 12:00,39,"29,5"
2024-01-24 13:00,"36,3","21,4"
2024-01-24 14:00,"34,7","18,3"
2024-01-24 15:00,"26,5","13,7"
2024-01-24 16:00,"18,6","9,9"
2024-01-24 17:00,"13,5","7,9"
2024-01-24 18:00,"11,2","5,5"
2024-01-24 19:00,"7,7","3,9"
2024-01-24 20:00,"5,5","2,9"
2024-01-24 21:00,"8,8","2,1"
2024-01-24 22:00,"7,1","1,7"
2024-01-24 23:00,15,"2,1"
2024-01-24 24:00,"15,2","3,8"
2024-01-25 01:00,"12,4",6
2024-01-25 02:00,"26,1","5,7"
2024-01-25 03:00,"23,9","5,1"
2024-01-25 04:00,"27,5","11,5"
2024-01-25 05:00,"32,7","9,6"
2024-01-25 06:00,"34,6","12,5"
2024-01-25 07:00,"37,3","12,8"
2024-01-25 08:00,"47,5","29,2"
2024-01-25 09:00,"72,2","45,4"
2024-01-25 10:00,"91,4",44
2024-01-25 11:00,"89,6",60
2024-01-25 12:00,"76,4","54,5"
2024-01-25 13:00,"67,8","43,3"
2024-01-25 14:00,"53,1","31,5"
2024-01-25 15:00,"38,9","28,8"
2024-01-25 16:00,"69,6","26,1"
2024-01-25 17:00,"57,6","34,3"
2024-01-25 18:00,"55,2","23,9"
2024-01-25 19:00,"55,1",26
2024-01-25 20:00,"56,7","21,6"
2024-01-25 21:00,"58,3","20,3"
2024-01-25 22:00,"51,3","34,3"
2024-01-25 23:00,"52,8","24,9"
2024-01-25 24:00,"51,1","34,1"
2024-01-26 01:00,"40,8","27,1"
2024-01-26 02:00,"45,4","19,5"
2024-01-26 03:00,"43,2","25,7"
2024-01-26 04:00,"38,1","18,8"
2024-01-26 05:00,"36,8","19,6"
2024-01-26 06:00,"43,9","25,8"
2024-01-26 07:00,"47,8","21,5"
2024-01-26 08:00,59,"33,2"
2024-01-26 09:00,76,"46,6"
2024-01-26 10:00,"87,6","59,4"
2024-01-26 11:00,"83,8","79,9"
