,PM10 [µg/m3],PM2.5 [µg/m3]
2023-01-23 01:00,"26,5","9,8"
2023-01-23 02:00,20,"7,6"
2023-01-23 03:00,"17,7","5,6"
2023-01-23 04:00,"23,1","16,8"
2023-01-23 05:00,"24,8","19,2"
2023-01-23 06:00,23,"13,6"
2023-01-23 07:00,"30,4","10,1"
2023-01-23 08:00,"35,7","7,2"
2023-01-23 09:00,"33,6","5,4"
2023-01-23 10:00,24,"9,9"
2023-01-23 11:00,"24,7","7,9"
2023-01-23 12:00,19,"6,7"
2023-01-23 13:00,29,16
2023-01-23 14:00,"20,4","11,2"
2023-01-23 15:00,19,"8,1"
2023-01-23 16:00,"25,1","7,6"
2023-01-23 17:00,"26,7","7,5"
2023-01-23 18:00,"19,2","6,5"
2023-01-23 19:00,"15,2","4,8"
2023-01-23 20:00,"11,2","3,7"
2023-01-23 21:00,"23,5",3
2023-01-23 22:00,"16,7","2,5"
2023-01-23 23:00,"12,9","2,8"
2023-01-23 24:00,"12,6","5,2"
2023-01-23 01:00,"26,5","9,8"
2023-01-23 02:00,20,"7,6"
2023-01-23 03:00,"17,7","5,6"
2023-01-23 04:00,"23,1","16,8"
2023-01-23 05:00,"24,8","19,2"
2023-01-23 06:00,23,"13,6"
2023-01-23 07:00,"30,4","10,1"
2023-01-23 08:00,"35,7","7,2"
2023-01-23 09:00,"33,6","5,4"
2023-01-23 10:00,24,"9,9"
2023-01-23 11:00,"24,7","7,9"
2023-01-23 12:00,19,"6,7"
2023-01-23 13:00,29,16
2023-01-23 14:00,"20,4","11,2"
2023-01-23 15:00,19,"8,1"
2023-01-23 16:00,"25,1","7,6"
2023-01-23 17:00,"26,7","7,5"
2023-01-23 18:00,"19,2","6,5"
2023-01-23 19:00,"15,2","4,8"
2023-01-23 20:00,"11,2","3,7"
2023-01-23 21:00,"23,5",3
2023-01-23 22:00,"16,7","2,5"
2023-01-23 23:00,"12,9","2,8"
2023-01-23 24:00,"12,6","5,2"
2023-01-24 01:00,"9,2",5
2023-01-24 02:00,"19,3",5
2023-01-24 03:00,"13,8","4,8"
2023-01-24 04:00,"16,6","5,3"
2023-01-24 05:00,14,"5,9"
2023-01-24 06:00,"11,2","5,8"
2023-01-24 07:00,"12,1","5,6"
2023-01-24 08:00,"10,9","5,5"
2023-01-24 09:00,"16,8","5,5"
2023-01-24 10:00,"21,2","5,3"
2023-01-24 11:00,"18,6","5,4"
2023-01-24 12:00,"20,2","5,3"
2023-01-24 13:00,27,"6,2"
2023-01-24 14:00,"21,4","6,5"
2023-01-24 15:00,"27,8","6,5"
2023-01-24 16:00,"23,5","5,9"
2023-01-24 17:00,"21,2","5,6"
2023-01-24 18:00,"15,9","6,9"
2023-01-24 19:00,"26,6","5,4"
2023-01-24 20:00,"21,3","6,1"
2023-01-24 21:00,"16,6","5,6"
2023-01-24 22:00,17,"5,3"
2023-01-24 23:00,"27,9","4,8"
2023-01-24 24:00,"20,5","4,7"
2023-01-25 01:00,"19,7","4,8"
2023-01-25 02:00,"18,2",5
2023-01-25 03:00,"18,6","5,5"
2023-01-25 04:00,29,"5,9"
2023-01-25 05:00,"22,9","6,2"
2023-01-25 06:00,"36,8","8,4"
2023-01-25 07:00,"34,5","12,1"
2023-01-25 08:00,"42,2","9,7"
2023-01-25 09:00,"61,8","16,9"
2023-01-25 10:00,"58,6","17,1"
2023-01-25 11:00,"67,1","14,3"
2023-01-25 12:00,"58,7","16,4"
2023-01-25 13:00,"51,9","22,6"
2023-01-25 14:00,"51,8",17
2023-01-25 15:00,"53,6","12,8"
2023-01-25 16:00,"55,5","24,6"
2023-01-25 17:00,"51,1","17,6"
2023-01-25 18:00,"53,3","12,8"
2023-01-25 19:00,"60,7","10,1"
2023-01-25 20:00,"53,8","14,8"
2023-01-25 21:00,"37,9","16,1"
2023-01-25 22:00,38,"14,5"
2023-01-25 23:00,"45,8","11,5"
2023-01-25 24:00,"78,4","27,3"
2023-01-26 01:00,"87,1","35,2"
2023-01-26 02:00,"95,1","36,3"
2023-01-26 03:00,"84,7","36,5"
2023-01-26 04:00,"87,3","33,3"
2023-01-26 05:00,"79,6","30,2"
2023-01-26 06:00,"97,3","32,4"
2023-01-26 07:00,"82,2","32,9"
2023-01-26 08:00,"107,9","32,3"
2023-01-26 09:00,"96,9","28,4"
2023-01-26 10:00,"80,3","26,8"
2023-01-26 11:00,52,"20,2"
2023-01-26 12:00,"37,2","14,9"
2023-01-26 13:00,"44,8",11
2023-01-26 14:00,"32,8","11,7"
2023-01-26 15:00,,"18,7"
2023-01-26 16:00,,"14,2"
2023-01-26 17:00,,"19,8"
2023-01-26 18:00,,"27,2"
2023-01-26 19:00,,"21,2"
2023-01-26 20:00,,"31,4"
2023-01-26 21:00,,"33,4"
2023-01-26 22:00,,"30,5"
2023-01-26 23:00,,"31,2"
2023-01-26 24:00,,"33,4"
2023-01-27 01:00,,"33,9"
2023-01-27 02:00,,"40,4"
2023-01-27 03:00,,"34,7"
2023-01-27 04:00,,"31,5"
2023-01-27 05:00,,"34,6"
2023-01-27 06:00,,"37,4"
2023-01-27 07:00,,"32,8"
2023-01-27 08:00,,"38,4"
2023-01-27 09:00,,"46,6"
2023-01-27 10:00,,"41,1"
2023-01-27 11:00,,45
2023-01-27 12:00,,"32,9"
2023-01-27 13:00,,"35,3"
2023-01-27 14:00,,"28,6"
2023-01-27 15:00,,"29,1"
2023-01-27 16:00,,"27,8"
2023-01-27 17:00,,"35,1"
2023-01-27 18:00,,"25,9"
2023-01-27 19:00,,"42,1"
2023-01-27 20:00,,"39,7"
2023-01-27 21:00,,"32,8"
2023-01-27 22:00,,"45,1"
2023-01-27 23:00,,"38,2"
2023-01-27 24:00,,"32,4"
2023-01-28 01:00,,"30,9"
2023-01-28 02:00,,"36,2"
2023-01-28 03:00,,"37,8"
2023-01-28 04:00,,"36,6"
2023-01-28 05:00,,"42,3"
2023-01-28 06:00,,"47,3"
2023-01-28 07:00,,"56,8"
2023-01-28 08:00,,"50,5"
2023-01-28 09:00,,"47,1"
2023-01-28 10:00,,"42,8"
2023-01-28 11:00,,"35,8"
2023-01-28 12:00,,"36,6"
2023-01-28 13:00,,"47,2"
2023-01-28 14:00,,"46,9"
2023-01-28 15:00,,"36,9"
2023-01-28 16:00,,"31,3"
2023-01-28 17:00,,"23,2"
2023-01-28 18:00,,"20,9"
2023-01-28 19:00,,"26,3"
2023-01-28 20:00,,"20,5"
2023-01-28 21:00,,"14,3"
2023-01-28 22:00,,10
2023-01-28 23:00,,8
2023-01-28 24:00,,"10,1"
2023-01-29 01:00,,"13,2"
2023-01-29 02:00,,"40,7"
2023-01-29 03:00,,"27,5"
2023-01-29 04:00,,"37,9"
2023-01-29 05:00,,"28,9"
2023-01-29 06:00,,"30,1"
2023-01-29 07:00,,"38,7"
2023-01-29 08:00,,36
2023-01-29 09:00,,"29,3"
2023-01-29 10:00,,"32,7"
2023-01-29 11:00,,"39,5"
2023-01-29 12:00,,"28,9"
2023-01-29 13:00,,"30,9"
2023-01-29 14:00,,"26,6"
2023-01-29 15:00,,"25,5"
2023-01-29 16:00,,"24,5"
2023-01-29 17:00,,"17,8"
2023-01-29 18:00,,"13,3"
2023-01-29 19:00,,"12,7"
2023-01-29 20:00,,"8,8"
2023-01-29 21:00,,"8,4"
2023-01-29 22:00,,"18,5"
2023-01-29 23:00,,"21,1"
2023-01-29 24:00,,"18,2"
2023-01-30 01:00,,"42,4"
2023-01-30 02:00,,"35,3"
2023-01-30 03:00,,"41,8"
2023-01-30 04:00,,"39,5"
2023-01-30 05:00,,"36,1"
2023-01-30 06:00,,"35,9"
2023-01-30 07:00,,"33,4"
2023-01-30 08:00,,"43,2"
2023-01-30 09:00,,"48,2"
2023-01-30 10:00,,"43,7"
2023-01-30 11:00,,"56,6"
2023-01-30 12:00,,41
2023-01-30 13:00,,"49,1"
2023-01-30 14:00,"112,4","35,7"
2023-01-30 15:00,"113,8","39,7"
2023-01-30 16:00,"112,9","32,5"
2023-01-30 17:00,"93,3","30,8"
2023-01-30 18:00,"87,3","32,7"
2023-01-30 19:00,"92,5","24,1"
2023-01-30 20:00,"89,5","32,6"
2023-01-30 21:00,"79,2","31,6"
2023-01-30 22:00,63,"23,4"
2023-01-30 23:00,"70,9","21,8"
2023-01-30 24:00,"85,5","29,4"
2023-01-31 01:00,"91,2","28,3"
2023-01-31 02:00,"80,2","33,2"
2023-01-31 03:00,67,"25,4"
2023-01-31 04:00,"47,2","26,5"
2023-01-31 05:00,57,"19,4"
2023-01-31 06:00,"83,7","27,1"
2023-01-31 07:00,"102,8","36,9"
