Fecha Hora,PM10 [µg/m3],PM2.5 [µg/m3]
2024-01-22 01:00,"18,1","7,7"
2024-01-22 02:00,"16,6","6,3"
2024-01-22 03:00,"12,4","8,1"
2024-01-22 04:00,"9,3","7,2"
2024-01-22 05:00,"9,3","9,3"
2024-01-22 06:00,"10,2","8,2"
2024-01-22 07:00,"14,8","6,8"
2024-01-22 08:00,"13,3","5,8"
2024-01-22 09:00,"19,7",
2024-01-22 10:00,"14,5",
2024-01-22 11:00,"12,5",
2024-01-22 12:00,,
2024-01-22 13:00,,
2024-01-22 14:00,131,
2024-01-22 15:00,"92,5",
2024-01-22 16:00,"59,6",
2024-01-22 17:00,"49,8",
2024-01-22 18:00,"45,7",
2024-01-22 19:00,"37,3",
2024-01-22 20:00,"29,9",
2024-01-22 21:00,"32,4",
2024-01-22 22:00,"28,5",
2024-01-22 23:00,"21,9",
2024-01-22 24:00,30,
2024-01-22 01:00,"18,1","7,7"
2024-01-22 02:00,"16,6","6,3"
2024-01-22 03:00,"12,4","8,1"
2024-01-22 04:00,"9,3","7,2"
2024-01-22 05:00,"9,3","9,3"
2024-01-22 06:00,"10,2","8,2"
2024-01-22 07:00,"14,8","6,8"
2024-01-22 08:00,"13,3","5,8"
2024-01-22 09:00,"19,7",
2024-01-22 10:00,"14,5",
2024-01-22 11:00,"12,5",
2024-01-22 12:00,,
2024-01-22 13:00,,
2024-01-22 14:00,131,
2024-01-22 15:00,"92,5",
2024-01-22 16:00,"59,6",
2024-01-22 17:00,"49,8",
2024-01-22 18:00,"45,7",
2024-01-22 19:00,"37,3",
2024-01-22 20:00,"29,9",
2024-01-22 21:00,"32,4",
2024-01-22 22:00,"28,5",
2024-01-22 23:00,"21,9",
2024-01-22 24:00,30,
2024-01-23 01:00,"25,3",
2024-01-23 02:00,"21,8",
2024-01-23 03:00,32,
2024-01-23 04:00,"28,3",
2024-01-23 05:00,"25,3",
2024-01-23 06:00,"28,7",
2024-01-23 07:00,"21,6",
2024-01-23 08:00,"29,3",
2024-01-23 09:00,"33,8",
2024-01-23 10:00,"37,9",
2024-01-23 11:00,29,
2024-01-23 12:00,"36,2",
2024-01-23 13:00,"37,9",
2024-01-23 14:00,"52,9",
2024-01-23 15:00,"46,6",
2024-01-23 16:00,"48,3",
2024-01-23 17:00,"57,6",
2024-01-23 18:00,51,
2024-01-23 19:00,"53,6",
2024-01-23 20:00,39,
2024-01-23 21:00,48,
2024-01-23 22:00,"45,6",
2024-01-23 23:00,41,
2024-01-23 24:00,"31,6",
2024-01-24 01:00,"37,9",
2024-01-24 02:00,30,
2024-01-24 03:00,31,
2024-01-24 04:00,"23,9",
2024-01-24 05:00,"30,1",
2024-01-24 06:00,"55,6",
2024-01-24 07:00,"54,8",
2024-01-24 08:00,"67,4",
2024-01-24 09:00,"64,3",
2024-01-24 10:00,"73,5",
2024-01-24 11:00,57,
2024-01-24 12:00,"50,4",
2024-01-24 13:00,"51,6",
2024-01-24 14:00,"65,6","23,2"
2024-01-24 15:00,"63,4","27,1"
2024-01-24 16:00,"57,7","27,2"
2024-01-24 17:00,"47,9",30
2024-01-24 18:00,"59,3","25,8"
2024-01-24 19:00,50,"24,3"
2024-01-24 20:00,"47,3","16,8"
2024-01-24 21:00,"38,7",19
2024-01-24 22:00,"35,3","15,9"
2024-01-24 23:00,"34,7","12,1"
2024-01-24 24:00,"45,9","9,5"
2024-01-25 01:00,"47,5","20,1"
2024-01-25 02:00,"52,8","25,6"
2024-01-25 03:00,"57,9","29,2"
2024-01-25 04:00,"64,5","25,2"
2024-01-25 05:00,"63,5","34,2"
2024-01-25 06:00,"87,6","33,7"
2024-01-25 07:00,"93,1","35,6"
2024-01-25 08:00,"82,5","31,1"
2024-01-25 09:00,"92,3","28,7"
2024-01-25 10:00,"92,2","39,3"
2024-01-25 11:00,"104,3","41,5"
2024-01-25 12:00,"107,5","44,1"
2024-01-25 13:00,"72,9","32,5"
2024-01-25 14:00,"66,1","44,1"
2024-01-25 15:00,"68,4","45,9"
2024-01-25 16:00,"79,6","39,5"
2024-01-25 17:00,"80,9","32,6"
2024-01-25 18:00,"79,3","30,5"
2024-01-25 19:00,"75,5","31,8"
2024-01-25 20:00,"74,8","33,7"
2024-01-25 21:00,"69,3","34,3"
2024-01-25 22:00,"73,6","30,8"
2024-01-25 23:00,"91,5",36
2024-01-25 24:00,"94,4","35,5"
2024-01-26 01:00,106,"48,7"
2024-01-26 02:00,"117,9","59,6"
2024-01-26 03:00,"105,5","43,2"
2024-01-26 04:00,"104,6","50,3"
2024-01-26 05:00,"100,7","43,2"
2024-01-26 06:00,"103,4","44,6"
2024-01-26 07:00,"111,4","53,9"
2024-01-26 08:00,"128,1","56,1"
2024-01-26 09:00,140,"57,1"
2024-01-26 10:00,"106,7","50,6"
2024-01-26 11:00,"84,2","42,6"
2024-01-26 12:00,"65,5","37,2"
2024-01-26 13:00,"59,9","26,6"
2024-01-26 14:00,"65,2","34,1"
2024-01-26 15:00,"74,8","42,6"
2024-01-26 16:00,"78,2","39,7"
2024-01-26 17:00,"85,9","35,8"
2024-01-26 18:00,"79,1","29,2"
2024-01-26 19:00,"61,9","33,6"
2024-01-26 20:00,"69,1","27,4"
2024-01-26 21:00,82,"30,1"
2024-01-26 22:00,"71,6","23,7"
2024-01-26 23:00,"68,3","25,8"
2024-01-26 24:00,68,"28,1"
2024-01-27 01:00,"75,2","30,8"
2024-01-27 02:00,"68,9","29,5"
2024-01-27 03:00,"74,2","26,7"
2024-01-27 04:00,"72,4","33,4"
2024-01-27 05:00,"85,5","36,6"
2024-01-27 06:00,"91,5",44
2024-01-27 07:00,"101,5",53
2024-01-27 08:00,"111,1","54,2"
2024-01-27 09:00,"109,6","51,2"
2024-01-27 10:00,"111,1","52,6"
2024-01-27 11:00,"97,2",47
2024-01-27 12:00,"86,3","33,3"
2024-01-27 13:00,"88,1","33,3"
2024-01-27 14:00,89,"47,4"
2024-01-27 15:00,"82,8","47,4"
2024-01-27 16:00,"82,9","40,4"
2024-01-27 17:00,"64,4","38,9"
2024-01-27 18:00,"66,2","28,8"
2024-01-27 19:00,"71,1","31,8"
2024-01-27 20:00,"69,9","28,9"
