Fecha Hora,PM10 [µg/m3],PM2.5 [µg/m3]
2023-01-23 01:00,"17,1","8,2"
2023-01-23 02:00,"14,5","7,6"
2023-01-23 03:00,13,"6,7"
2023-01-23 04:00,"12,4","7,1"
2023-01-23 05:00,"9,5","5,8"
2023-01-23 06:00,"15,7","6,8"
2023-01-23 07:00,"20,4","14,7"
2023-01-23 08:00,"20,9","10,9"
2023-01-23 09:00,"34,5","14,8"
2023-01-23 10:00,"32,4","11,8"
2023-01-23 11:00,"35,4","8,9"
2023-01-23 12:00,"26,2","8,3"
2023-01-23 13:00,"20,7","10,9"
2023-01-23 14:00,"26,7","9,3"
2023-01-23 15:00,"20,2","10,1"
2023-01-23 16:00,"14,2","7,2"
2023-01-23 17:00,"16,3",6
2023-01-23 18:00,13,"6,1"
2023-01-23 19:00,"15,4","5,7"
2023-01-23 20:00,"11,8","5,2"
2023-01-23 21:00,"11,1","4,6"
2023-01-23 22:00,"16,1","3,8"
2023-01-23 23:00,"12,1","3,7"
2023-01-23 24:00,"10,5","3,7"
2023-01-23 01:00,"17,1","8,2"
2023-01-23 02:00,"14,5","7,6"
2023-01-23 03:00,13,"6,7"
2023-01-23 04:00,"12,4","7,1"
2023-01-23 05:00,"9,5","5,8"
2023-01-23 06:00,"15,7","6,8"
2023-01-23 07:00,"20,4","14,7"
2023-01-23 08:00,"20,9","10,9"
2023-01-23 09:00,"34,5","14,8"
2023-01-23 10:00,"32,4","11,8"
2023-01-23 11:00,"35,4","8,9"
2023-01-23 12:00,"26,2","8,3"
2023-01-23 13:00,"20,7","10,9"
2023-01-23 14:00,"26,7","9,3"
2023-01-23 15:00,"20,2","10,1"
2023-01-23 16:00,"14,2","7,2"
2023-01-23 17:00,"16,3",6
2023-01-23 18:00,13,"6,1"
2023-01-23 19:00,"15,4","5,7"
2023-01-23 20:00,"11,8","5,2"
2023-01-23 21:00,"11,1","4,6"
2023-01-23 22:00,"16,1","3,8"
2023-01-23 23:00,"12,1","3,7"
2023-01-23 24:00,"10,5","3,7"
2023-01-24 01:00,"8,3","3,7"
2023-01-24 02:00,"7,3","3,6"
2023-01-24 03:00,"8,6","3,4"
2023-01-24 04:00,"6,5","3,2"
2023-01-24 05:00,"5,7","3,1"
2023-01-24 06:00,"5,2","3,1"
2023-01-24 07:00,7,"3,1"
2023-01-24 08:00,"17,2",3
2023-01-24 09:00,"12,7",3
2023-01-24 10:00,"10,6","3,1"
2023-01-24 11:00,"21,8","3,9"
2023-01-24 12:00,"15,9",4
2023-01-24 13:00,"19,2",4
2023-01-24 14:00,"14,2","4,3"
2023-01-24 15:00,"10,1","4,1"
2023-01-24 16:00,"7,5","3,9"
2023-01-24 17:00,"6,1","3,8"
2023-01-24 18:00,"12,5","3,8"
2023-01-24 19:00,"14,9","3,7"
2023-01-24 20:00,"10,7","3,6"
2023-01-24 21:00,"10,9","4,2"
2023-01-24 22:00,"16,6","4,2"
2023-01-24 23:00,"19,7","4,2"
2023-01-24 24:00,"18,8","4,1"
2023-01-25 01:00,"19,2","4,1"
2023-01-25 02:00,"17,6",4
2023-01-25 03:00,"15,8","4,4"
2023-01-25 04:00,"21,2","4,3"
2023-01-25 05:00,"16,1","4,3"
2023-01-25 06:00,"18,1","8,1"
2023-01-25 07:00,"18,9","7,2"
2023-01-25 08:00,"26,4","10,9"
2023-01-25 09:00,"44,2","10,2"
2023-01-25 10:00,"40,6","8,2"
