Fecha Hora,PM10 [µg/m3],PM2.5 [µg/m3]
2023-01-23 01:00,"36,7",11
2023-01-23 02:00,"33,5","13,9"
2023-01-23 03:00,"24,3",10
2023-01-23 04:00,"26,4",10
2023-01-23 05:00,"27,3",10
2023-01-23 06:00,"63,9","17,8"
2023-01-23 07:00,"118,1","30,7"
2023-01-23 08:00,"155,5","43,7"
2023-01-23 09:00,"82,4","26,4"
2023-01-23 10:00,"63,1",24
2023-01-23 11:00,48,"4,4"
2023-01-23 12:00,"27,6",2
2023-01-23 13:00,"26,1","5,9"
2023-01-23 14:00,"32,4","7,9"
2023-01-23 15:00,23,6
2023-01-23 16:00,"29,6","6,9"
2023-01-23 17:00,"27,6",5
2023-01-23 18:00,32,"6,9"
2023-01-23 19:00,32,6
2023-01-23 20:00,32,"9,9"
2023-01-23 21:00,"31,2",10
2023-01-23 22:00,"25,3","10,9"
2023-01-23 23:00,"21,3","6,1"
2023-01-23 24:00,"22,7",6
2023-01-23 01:00,"36,7",11
2023-01-23 02:00,"33,5","13,9"
2023-01-23 03:00,"24,3",10
2023-01-23 04:00,"26,4",10
2023-01-23 05:00,"27,3",10
2023-01-23 06:00,"63,9","17,8"
2023-01-23 07:00,"118,1","30,7"
2023-01-23 08:00,"155,5","43,7"
2023-01-23 09:00,"82,4","26,4"
2023-01-23 10:00,"63,1",24
2023-01-23 11:00,48,"4,4"
2023-01-23 12:00,"27,6",2
2023-01-23 13:00,"26,1","5,9"
2023-01-23 14:00,"32,4","7,9"
2023-01-23 15:00,23,6
2023-01-23 16:00,"29,6","6,9"
2023-01-23 17:00,"27,6",5
2023-01-23 18:00,32,"6,9"
2023-01-23 19:00,32,6
2023-01-23 20:00,32,"9,9"
2023-01-23 21:00,"31,2",10
2023-01-23 22:00,"25,3","10,9"
2023-01-23 23:00,"21,3","6,1"
2023-01-23 24:00,"22,7",6
2023-01-24 01:00,"14,2",4
2023-01-24 02:00,"14,9","4,9"
2023-01-24 03:00,"8,3",5
2023-01-24 04:00,"15,3",4
2023-01-24 05:00,"48,2","16,7"
2023-01-24 06:00,"67,5",16
2023-01-24 07:00,"50,4","11,1"
2023-01-24 08:00,"47,2","12,9"
2023-01-24 09:00,"49,1","16,9"
2023-01-24 10:00,"47,8","8,2"
2023-01-24 11:00,"31,7",6
2023-01-24 12:00,"24,8","8,9"
2023-01-24 13:00,"35,8",8
2023-01-24 14:00,"27,3","3,1"
2023-01-24 15:00,"24,1",3
2023-01-24 16:00,"31,2","3,9"
2023-01-24 17:00,"28,8",3
2023-01-24 18:00,"46,9","4,9"
2023-01-24 19:00,"38,5","5,9"
2023-01-24 20:00,"29,7","10,8"
2023-01-24 21:00,"35,1",10
2023-01-24 22:00,"35,2",9
2023-01-24 23:00,"30,3",8
2023-01-24 24:00,"35,9","10,9"
2023-01-25 01:00,"53,8","13,9"
2023-01-25 02:00,"37,7",12
2023-01-25 03:00,"29,5","17,8"
2023-01-25 04:00,33,16
2023-01-25 05:00,"39,3","20,8"
2023-01-25 06:00,"83,6","27,8"
2023-01-25 07:00,"93,9","31,9"
2023-01-25 08:00,"84,9",32
2023-01-25 09:00,"68,8","26,1"
2023-01-25 10:00,"55,8","19,1"
2023-01-25 11:00,"65,8",18
2023-01-25 12:00,"49,7","12,1"
2023-01-25 13:00,"41,1",9
2023-01-25 14:00,"40,4","9,9"
2023-01-25 15:00,"34,9","12,9"
2023-01-25 16:00,"67,7","27,6"
2023-01-25 17:00,"64,8","23,1"
2023-01-25 18:00,"57,7","29,8"
2023-01-25 19:00,64,"19,2"
2023-01-25 20:00,68,"25,8"
2023-01-25 21:00,"51,4","21,1"
2023-01-25 22:00,"73,1",17
2023-01-25 23:00,"63,3","23,8"
2023-01-25 24:00,"75,5","29,8"
2023-01-26 01:00,"54,8","16,3"
2023-01-26 02:00,"69,4","30,6"
2023-01-26 03:00,"39,2","22,2"
2023-01-26 04:00,"40,4","16,1"
2023-01-26 05:00,"39,1","21,8"
2023-01-26 06:00,"57,4",22
2023-01-26 07:00,"83,5","29,8"
2023-01-26 08:00,"99,1","35,8"
2023-01-26 09:00,"85,9",32
2023-01-26 10:00,"75,1",30
2023-01-26 11:00,"47,4","13,3"
2023-01-26 12:00,"35,8",10
2023-01-26 13:00,"27,2",6
2023-01-26 14:00,"21,3",3
