Fecha Hora,PM10 [µg/m3],PM2.5 [µg/m3]
2024-01-22 01:00,24,9
2024-01-22 02:00,28,16
2024-01-22 03:00,19,9
2024-01-22 04:00,31,9
2024-01-22 05:00,15,9
2024-01-22 06:00,15,10
2024-01-22 07:00,31,11
2024-01-22 08:00,45,19
2024-01-22 09:00,27,3
2024-01-22 10:00,27,11
2024-01-22 11:00,58,9
2024-01-22 12:00,66,8
2024-01-22 13:00,25,6
2024-01-22 14:00,37,5
2024-01-22 15:00,38,8
2024-01-22 16:00,26,6
2024-01-22 17:00,27,6
2024-01-22 18:00,18,7
2024-01-22 19:00,19,5
2024-01-22 20:00,18,6
2024-01-22 21:00,54,29
2024-01-22 22:00,45,17
2024-01-22 23:00,55,23
2024-01-22 24:00,57,22
2024-01-22 01:00,24,9
2024-01-22 02:00,28,16
2024-01-22 03:00,19,9
2024-01-22 04:00,31,9
2024-01-22 05:00,15,9
2024-01-22 06:00,15,10
2024-01-22 07:00,31,11
2024-01-22 08:00,45,19
2024-01-22 09:00,27,3
2024-01-22 10:00,27,11
2024-01-22 11:00,58,9
2024-01-22 12:00,66,8
2024-01-22 13:00,25,6
2024-01-22 14:00,37,5
2024-01-22 15:00,38,8
2024-01-22 16:00,26,6
2024-01-22 17:00,27,6
2024-01-22 18:00,18,7
2024-01-22 19:00,19,5
2024-01-22 20:00,18,6
2024-01-22 21:00,54,29
2024-01-22 22:00,45,17
2024-01-22 23:00,55,23
2024-01-22 24:00,57,22
2024-01-23 01:00,51,15
2024-01-23 02:00,32,17
2024-01-23 03:00,37,13
2024-01-23 04:00,39,20
2024-01-23 05:00,72,25
2024-01-23 06:00,83,46
2024-01-23 07:00,92,65
2024-01-23 08:00,84,46
2024-01-23 09:00,53,19
2024-01-23 10:00,43,27
2024-01-23 11:00,27,11
2024-01-23 12:00,28,
2024-01-23 13:00,24,
2024-01-23 14:00,27,6
2024-01-23 15:00,34,7
2024-01-23 16:00,36,7
2024-01-23 17:00,47,6
2024-01-23 18:00,22,5
2024-01-23 19:00,20,9
2024-01-23 20:00,34,11
2024-01-23 21:00,37,18
2024-01-23 22:00,32,8
2024-01-23 23:00,25,11
2024-01-23 24:00,64,25
2024-01-24 01:00,46,16
2024-01-24 02:00,32,15
2024-01-24 03:00,49,30
2024-01-24 04:00,62,32
2024-01-24 05:00,80,46
2024-01-24 06:00,97,61
2024-01-24 07:00,122,83
2024-01-24 08:00,144,77
2024-01-24 09:00,100,48
2024-01-24 10:00,39,16
2024-01-24 11:00,38,9
2024-01-24 12:00,27,6
2024-01-24 13:00,28,4
2024-01-24 14:00,33,2
2024-01-24 15:00,38,5
2024-01-24 16:00,34,7
2024-01-24 17:00,24,6
2024-01-24 18:00,31,6
2024-01-24 19:00,19,4
2024-01-24 20:00,21,8
2024-01-24 21:00,28,9
2024-01-24 22:00,49,22
2024-01-24 23:00,74,32
2024-01-24 24:00,53,18
2024-01-25 01:00,35,16
2024-01-25 02:00,58,23
2024-01-25 03:00,57,23
2024-01-25 04:00,59,36
2024-01-25 05:00,59,33
2024-01-25 06:00,94,62
2024-01-25 07:00,110,73
2024-01-25 08:00,105,56
2024-01-25 09:00,86,41
2024-01-25 10:00,43,21
2024-01-25 11:00,39,15
2024-01-25 12:00,32,7
2024-01-25 13:00,40,5
2024-01-25 14:00,32,5
2024-01-25 15:00,50,5
2024-01-25 16:00,110,27
2024-01-25 17:00,124,30
2024-01-25 18:00,59,19
2024-01-25 19:00,56,21
2024-01-25 20:00,44,26
2024-01-25 21:00,46,21
2024-01-25 22:00,39,23
2024-01-25 23:00,57,28
2024-01-25 24:00,42,17
2024-01-26 01:00,41,21
2024-01-26 02:00,49,28
2024-01-26 03:00,48,25
2024-01-26 04:00,49,34
2024-01-26 05:00,54,36
2024-01-26 06:00,76,50
2024-01-26 07:00,76,45
2024-01-26 08:00,106,68
2024-01-26 09:00,77,47
2024-01-26 10:00,46,20
2024-01-26 11:00,44,28
2024-01-26 12:00,43,19
2024-01-26 13:00,39,13
2024-01-26 14:00,36,8
2024-01-26 15:00,39,19
2024-01-26 16:00,86,44
2024-01-26 17:00,86,37
2024-01-26 18:00,71,30
2024-01-26 19:00,54,25
2024-01-26 20:00,44,15
2024-01-26 21:00,38,22
2024-01-26 22:00,37,17
2024-01-26 23:00,32,18
2024-01-26 24:00,39,17
2024-01-27 01:00,37,23
2024-01-27 02:00,37,23
2024-01-27 03:00,41,24
2024-01-27 04:00,33,20
2024-01-27 05:00,64,36
2024-01-27 06:00,66,43
2024-01-27 07:00,63,44
2024-01-27 08:00,74,46
2024-01-27 09:00,106,56
