Fecha Hora,PM10 [µg/m3],PM2.5 [µg/m3]
2023-01-23 01:00,"17,5","2,9"
2023-01-23 02:00,"12,5","10,8"
2023-01-23 03:00,"20,3","9,3"
2023-01-23 04:00,15,"7,3"
2023-01-23 05:00,"20,4","5,2"
2023-01-23 06:00,"15,3","7,5"
2023-01-23 07:00,"32,6","7,2"
2023-01-23 08:00,"35,1","19,1"
2023-01-23 09:00,"37,4","13,8"
2023-01-23 10:00,"29,1","23,5"
2023-01-23 11:00,"21,5","17,5"
2023-01-23 12:00,24,"12,7"
2023-01-23 13:00,"18,1","10,3"
2023-01-23 14:00,"17,6","11,4"
2023-01-23 15:00,16,"8,1"
2023-01-23 16:00,"13,9","8,2"
2023-01-23 17:00,"10,3","6,8"
2023-01-23 18:00,"17,1",6
2023-01-23 19:00,"11,9","4,4"
2023-01-23 20:00,"8,3","3,3"
2023-01-23 21:00,"5,8",3
2023-01-23 22:00,"4,2","3,3"
2023-01-23 23:00,"3,5","3,5"
2023-01-23 24:00,6,"3,6"
2023-01-23 01:00,"17,5","2,9"
2023-01-23 02:00,"12,5","10,8"
2023-01-23 03:00,"20,3","9,3"
2023-01-23 04:00,15,"7,3"
2023-01-23 05:00,"20,4","5,2"
2023-01-23 06:00,"15,3","7,5"
2023-01-23 07:00,"32,6","7,2"
2023-01-23 08:00,"35,1","19,1"
2023-01-23 09:00,"37,4","13,8"
2023-01-23 10:00,"29,1","23,5"
2023-01-23 11:00,"21,5","17,5"
2023-01-23 12:00,24,"12,7"
2023-01-23 13:00,"18,1","10,3"
2023-01-23 14:00,"17,6","11,4"
2023-01-23 15:00,16,"8,1"
2023-01-23 16:00,"13,9","8,2"
2023-01-23 17:00,"10,3","6,8"
2023-01-23 18:00,"17,1",6
2023-01-23 19:00,"11,9","4,4"
2023-01-23 20:00,"8,3","3,3"
2023-01-23 21:00,"5,8",3
2023-01-23 22:00,"4,2","3,3"
2023-01-23 23:00,"3,5","3,5"
2023-01-23 24:00,6,"3,6"
2023-01-24 01:00,"5,3","3,6"
2023-01-24 02:00,"4,8","3,3"
2023-01-24 03:00,"5,1","3,2"
2023-01-24 04:00,"4,3",3
2023-01-24 05:00,4,"3,1"
2023-01-24 06:00,"5,4",3
2023-01-24 07:00,"8,3",3
2023-01-24 08:00,11,3
2023-01-24 09:00,"11,6","3,7"
2023-01-24 10:00,"17,6","6,7"
2023-01-24 11:00,"32,2","9,3"
2023-01-24 12:00,"31,1","8,4"
2023-01-24 13:00,"31,8",7
2023-01-24 14:00,"41,1","12,2"
2023-01-24 15:00,"30,2","9,4"
2023-01-24 16:00,"28,8","6,9"
2023-01-24 17:00,"20,7","7,3"
2023-01-24 18:00,"21,9","21,8"
2023-01-24 19:00,"16,4","16,3"
2023-01-24 20:00,"12,3","12,3"
2023-01-24 21:00,"9,9","9,9"
2023-01-24 22:00,22,"7,6"
2023-01-24 23:00,"16,7","5,5"
2023-01-24 24:00,"12,2","4,7"
2023-01-25 01:00,"12,9","4,2"
2023-01-25 02:00,"17,4","3,5"
2023-01-25 03:00,"22,8","3,1"
2023-01-25 04:00,"16,2","4,2"
2023-01-25 05:00,"21,4","5,2"
2023-01-25 06:00,"22,4","5,7"
2023-01-25 07:00,"24,6","12,6"
2023-01-25 08:00,"37,5",10
2023-01-25 09:00,"55,3","23,6"
2023-01-25 10:00,"63,9","32,7"
2023-01-25 11:00,"48,5","27,9"
2023-01-25 12:00,"46,1","25,4"
2023-01-25 13:00,"56,4","23,7"
2023-01-25 14:00,49,18
2023-01-25 15:00,"49,5","16,5"
2023-01-25 16:00,"44,4",
