,PM10 [µg/m3],PM2.5 [µg/m3]
2024-01-22 01:00,"19,5","8,5"
2024-01-22 02:00,"15,1","7,3"
2024-01-22 03:00,"14,6","6,5"
2024-01-22 04:00,"12,2","5,3"
2024-01-22 05:00,9,"4,8"
2024-01-22 06:00,"9,5","9,4"
2024-01-22 07:00,"7,7","7,7"
2024-01-22 08:00,"13,9","6,1"
2024-01-22 09:00,"20,3","5,5"
2024-01-22 10:00,"14,3","9,1"
2024-01-22 11:00,"18,6","8,6"
2024-01-22 12:00,"19,5",19
2024-01-22 13:00,"21,1","15,7"
2024-01-22 14:00,"21,7","12,8"
2024-01-22 15:00,"16,6","9,8"
2024-01-22 16:00,25,"9,4"
2024-01-22 17:00,"36,3","7,7"
2024-01-22 18:00,"29,7","14,7"
2024-01-22 19:00,"20,6","10,9"
2024-01-22 20:00,"14,3","7,5"
2024-01-22 21:00,"9,9","5,2"
2024-01-22 22:00,7,6
2024-01-22 23:00,"20,6","4,8"
2024-01-22 24:00,"17,5","3,8"
2024-01-22 01:00,"19,5","8,5"
2024-01-22 02:00,"15,1","7,3"
2024-01-22 03:00,"14,6","6,5"
2024-01-22 04:00,"12,2","5,3"
2024-01-22 05:00,9,"4,8"
2024-01-22 06:00,"9,5","9,4"
2024-01-22 07:00,"7,7","7,7"
2024-01-22 08:00,"13,9","6,1"
2024-01-22 09:00,"20,3","5,5"
2024-01-22 10:00,"14,3","9,1"
2024-01-22 11:00,"18,6","8,6"
2024-01-22 12:00,"19,5",19
2024-01-22 13:00,"21,1","15,7"
2024-01-22 14:00,"21,7","12,8"
2024-01-22 15:00,"16,6","9,8"
2024-01-22 16:00,25,"9,4"
2024-01-22 17:00,"36,3","7,7"
2024-01-22 18:00,"29,7","14,7"
2024-01-22 19:00,"20,6","10,9"
2024-01-22 20:00,"14,3","7,5"
2024-01-22 21:00,"9,9","5,2"
2024-01-22 22:00,7,6
2024-01-22 23:00,"20,6","4,8"
2024-01-22 24:00,"17,5","3,8"
2024-01-23 01:00,"16,1","4,2"
2024-01-23 02:00,"12,3","7,3"
2024-01-23 03:00,"9,3","6,5"
2024-01-23 04:00,"7,2","5,5"
2024-01-23 05:00,"11,5","4,9"
2024-01-23 06:00,"12,9","6,5"
2024-01-23 07:00,"20,9","7,2"
2024-01-23 08:00,"17,1","7,1"
2024-01-23 09:00,"19,9","12,2"
2024-01-23 10:00,,
2024-01-23 11:00,"21,9","8,2"
2024-01-23 12:00,"29,9","20,1"
2024-01-23 13:00,"26,6","16,4"
2024-01-23 14:00,"20,8","15,6"
2024-01-23 15:00,"18,5",16
2024-01-23 16:00,"20,9","13,8"
2024-01-23 17:00,"25,2","10,8"
2024-01-23 18:00,18,"7,9"
2024-01-23 19:00,"19,3","5,5"
2024-01-23 20:00,"25,4","3,9"
2024-01-23 21:00,"19,8","2,8"
2024-01-23 22:00,"18,4","5,2"
2024-01-23 23:00,"29,9","10,2"
2024-01-23 24:00,"21,8","13,1"
2024-01-24 01:00,"25,2","12,2"
2024-01-24 02:00,"27,7","12,4"
2024-01-24 03:00,"35,9","17,6"
2024-01-24 04:00,"41,3","17,1"
2024-01-24 05:00,"31,6","18,1"
2024-01-24 06:00,"30,7","17,9"
2024-01-24 07:00,"36,1","22,6"
2024-01-24 08:00,"52,7","27,8"
2024-01-24 09:00,"58,3",44
2024-01-24 10:00,"69,8","46,1"
2024-01-24 11:00,"61,5","33,7"
2024-01-24 12:00,"53,3","32,4"
2024-01-24 13:00,"45,5","27,1"
2024-01-24 14:00,"32,5","20,5"
2024-01-24 15:00,"32,2","16,3"
2024-01-24 16:00,"29,6","11,9"
2024-01-24 17:00,"23,9","9,3"
2024-01-24 18:00,"18,6","7,1"
2024-01-24 19:00,"17,2","6,5"
2024-01-24 20:00,"12,6","7,7"
2024-01-24 21:00,17,"6,3"
2024-01-24 22:00,"20,5","5,1"
2024-01-24 23:00,"16,8","4,5"
2024-01-24 24:00,"17,6","10,5"
2024-01-25 01:00,23,"10,5"
2024-01-25 02:00,"26,7","8,7"
2024-01-25 03:00,"18,6","6,8"
2024-01-25 04:00,"19,3","6,7"
2024-01-25 05:00,"13,5","9,6"
2024-01-25 06:00,"24,4","9,8"
2024-01-25 07:00,"32,5","19,3"
2024-01-25 08:00,"48,3","19,5"
2024-01-25 09:00,"73,2","45,6"
2024-01-25 10:00,"114,5","60,8"
2024-01-25 11:00,"125,3",61
2024-01-25 12:00,"108,4","65,3"
2024-01-25 13:00,"87,7","52,6"
2024-01-25 14:00,"83,4","46,9"
2024-01-25 15:00,"73,8",36
2024-01-25 16:00,"74,3","38,3"
2024-01-25 17:00,"74,5","35,5"
2024-01-25 18:00,"63,6","29,9"
2024-01-25 19:00,62,"27,7"
2024-01-25 20:00,"60,9","26,9"
2024-01-25 21:00,"51,2","24,1"
2024-01-25 22:00,"57,4",29
2024-01-25 23:00,"47,5","21,8"
2024-01-25 24:00,"42,8","16,3"
2024-01-26 01:00,"45,2","25,4"
2024-01-26 02:00,"53,1","28,6"
2024-01-26 03:00,"55,6","28,1"
2024-01-26 04:00,55,"25,4"
2024-01-26 05:00,"62,3","40,7"
2024-01-26 06:00,"63,3","42,4"
2024-01-26 07:00,"71,4",35
2024-01-26 08:00,"75,6","46,3"
2024-01-26 09:00,"103,1","61,5"
