,PM10 [µg/m3],PM2.5 [µg/m3]
2023-01-23 01:00,12,12
2023-01-23 02:00,"9,2",9
2023-01-23 03:00,"7,9",7
2023-01-23 04:00,7,7
2023-01-23 05:00,"10,8",10
2023-01-23 06:00,11,11
2023-01-23 07:00,20,20
2023-01-23 08:00,"31,5",21
2023-01-23 09:00,"26,3",13
2023-01-23 10:00,"28,5",10
2023-01-23 11:00,"22,1",7
2023-01-23 12:00,"16,1",4
2023-01-23 13:00,"11,7",3
2023-01-23 14:00,"36,3",5
2023-01-23 15:00,"26,9",8
2023-01-23 16:00,"18,7",6
2023-01-23 17:00,"13,5",3
2023-01-23 18:00,"9,6",7
2023-01-23 19:00,"12,2",7
2023-01-23 20:00,9,9
2023-01-23 21:00,"6,9",6
2023-01-23 22:00,10,10
2023-01-23 23:00,,9
2023-01-23 24:00,,9
2023-01-23 01:00,12,12
2023-01-23 02:00,"9,2",9
2023-01-23 03:00,"7,9",7
2023-01-23 04:00,7,7
2023-01-23 05:00,"10,8",10
2023-01-23 06:00,11,11
2023-01-23 07:00,20,20
2023-01-23 08:00,"31,5",21
2023-01-23 09:00,"26,3",13
2023-01-23 10:00,"28,5",10
2023-01-23 11:00,"22,1",7
2023-01-23 12:00,"16,1",4
2023-01-23 13:00,"11,7",3
2023-01-23 14:00,"36,3",5
2023-01-23 15:00,"26,9",8
2023-01-23 16:00,"18,7",6
2023-01-23 17:00,"13,5",3
2023-01-23 18:00,"9,6",7
2023-01-23 19:00,"12,2",7
2023-01-23 20:00,9,9
2023-01-23 21:00,"6,9",6
2023-01-23 22:00,10,10
2023-01-23 23:00,,9
2023-01-23 24:00,,9
2023-01-24 01:00,7,7
2023-01-24 02:00,9,9
2023-01-24 03:00,"7,3",6
2023-01-24 04:00,"6,6",5
2023-01-24 05:00,6,6
2023-01-24 06:00,"5,9",6
2023-01-24 07:00,"8,2",8
2023-01-24 08:00,12,12
2023-01-24 09:00,11,11
2023-01-24 10:00,,10
2023-01-24 11:00,"16,1",7
2023-01-24 12:00,"13,7",7
2023-01-24 13:00,"15,1",8
2023-01-24 14:00,"14,4",6
2023-01-24 15:00,13,6
2023-01-24 16:00,"16,2",7
2023-01-24 17:00,"11,6",5
2023-01-24 18:00,"8,1",6
2023-01-24 19:00,"14,7",12
2023-01-24 20:00,"10,8",10
2023-01-24 21:00,10,10
2023-01-24 22:00,8,8
2023-01-24 23:00,"12,2",9
2023-01-24 24:00,"9,6",8
2023-01-25 01:00,"17,3",11
2023-01-25 02:00,"18,9",12
2023-01-25 03:00,"17,7",11
2023-01-25 04:00,"19,2",11
2023-01-25 05:00,"22,1",13
2023-01-25 06:00,"17,2",13
2023-01-25 07:00,"34,7",31
2023-01-25 08:00,"36,8",26
2023-01-25 09:00,"43,7",20
2023-01-25 10:00,"35,7",13
2023-01-25 11:00,"40,3",17
2023-01-25 12:00,"32,3",14
2023-01-25 13:00,"28,9",15
2023-01-25 14:00,34,14
2023-01-25 15:00,"27,3",10
2023-01-25 16:00,"36,1",24
2023-01-25 17:00,"48,1",25
2023-01-25 18:00,"43,8",18
2023-01-25 19:00,"55,8",28
2023-01-25 20:00,46,22
2023-01-25 21:00,"50,2",16
2023-01-25 22:00,"37,3",17
2023-01-25 23:00,"33,8",12
2023-01-25 24:00,"40,1",16
2023-01-26 01:00,"29,6",14
2023-01-26 02:00,"35,8",14
2023-01-26 03:00,"32,4",17
2023-01-26 04:00,"27,2",13
2023-01-26 05:00,"22,8",16
2023-01-26 06:00,"24,7",15
2023-01-26 07:00,"32,8",22
2023-01-26 08:00,"40,7",29
2023-01-26 09:00,"34,8",28
2023-01-26 10:00,"41,4",18
2023-01-26 11:00,"35,3",14
2023-01-26 12:00,"28,7",10
2023-01-26 13:00,"21,2",7
2023-01-26 14:00,"21,8",4
2023-01-26 15:00,"24,9",5
2023-01-26 16:00,"20,8",5
2023-01-26 17:00,"15,3",4
2023-01-26 18:00,26,25
2023-01-26 19:00,"41,9",25
2023-01-26 20:00,61,28
2023-01-26 21:00,"63,2",30
2023-01-26 22:00,58,25
2023-01-26 23:00,"65,7",26
2023-01-26 24:00,"64,6",33
2023-01-27 01:00,53,20
2023-01-27 02:00,"49,1",12
2023-01-27 03:00,44,12
2023-01-27 04:00,"31,5",15
2023-01-27 05:00,"30,8",17
2023-01-27 06:00,"35,1",19
2023-01-27 07:00,"41,5",26
2023-01-27 08:00,54,35
2023-01-27 09:00,"63,1",34
2023-01-27 10:00,"66,1",31
2023-01-27 11:00,"48,5",23
2023-01-27 12:00,"39,2",13
2023-01-27 13:00,"29,1",15
