,PM10 [µg/m3],PM2.5 [µg/m3]
2024-01-22 01:00,10,7
2024-01-22 02:00,8,5
2024-01-22 03:00,6,3
2024-01-22 04:00,11,3
2024-01-22 05:00,14,3
2024-01-22 06:00,10,5
2024-01-22 07:00,15,7
2024-01-22 08:00,40,26
2024-01-22 09:00,23,1
2024-01-22 10:00,17,1
2024-01-22 11:00,14,6
2024-01-22 12:00,15,3
2024-01-22 13:00,16,6
2024-01-22 14:00,16,6
2024-01-22 15:00,10,8
2024-01-22 16:00,16,7
2024-01-22 17:00,19,6
2024-01-22 18:00,16,11
2024-01-22 19:00,30,15
2024-01-22 20:00,19,13
2024-01-22 21:00,15,7
2024-01-22 22:00,7,3
2024-01-22 23:00,9,2
2024-01-22 24:00,11,3
2024-01-22 01:00,10,7
2024-01-22 02:00,8,5
2024-01-22 03:00,6,3
2024-01-22 04:00,11,3
2024-01-22 05:00,14,3
2024-01-22 06:00,10,5
2024-01-22 07:00,15,7
2024-01-22 08:00,40,26
2024-01-22 09:00,23,1
2024-01-22 10:00,17,1
2024-01-22 11:00,14,6
2024-01-22 12:00,15,3
2024-01-22 13:00,16,6
2024-01-22 14:00,16,6
2024-01-22 15:00,10,8
2024-01-22 16:00,16,7
2024-01-22 17:00,19,6
2024-01-22 18:00,16,11
2024-01-22 19:00,30,15
2024-01-22 20:00,19,13
2024-01-22 21:00,15,7
2024-01-22 22:00,7,3
2024-01-22 23:00,9,2
2024-01-22 24:00,11,3
2024-01-23 01:00,7,1
2024-01-23 02:00,6,0
2024-01-23 03:00,3,0
2024-01-23 04:00,2,2
2024-01-23 05:00,6,3
2024-01-23 06:00,8,2
2024-01-23 07:00,24,6
2024-01-23 08:00,55,20
2024-01-23 09:00,85,42
2024-01-23 10:00,21,3
2024-01-23 11:00,20,3
2024-01-23 12:00,23,6
2024-01-23 13:00,15,6
2024-01-23 14:00,17,3
2024-01-23 15:00,22,6
2024-01-23 16:00,24,5
2024-01-23 17:00,27,12
2024-01-23 18:00,28,12
2024-01-23 19:00,24,10
2024-01-23 20:00,63,51
2024-01-23 21:00,31,12
2024-01-23 22:00,11,8
2024-01-23 23:00,15,10
2024-01-23 24:00,14,10
2024-01-24 01:00,11,6
2024-01-24 02:00,14,6
2024-01-24 03:00,12,2
2024-01-24 04:00,11,11
2024-01-24 05:00,11,8
2024-01-24 06:00,24,6
2024-01-24 07:00,31,16
2024-01-24 08:00,83,38
2024-01-24 09:00,64,25
2024-01-24 10:00,57,24
2024-01-24 11:00,17,8
2024-01-24 12:00,7,5
2024-01-24 13:00,17,1
