,PM10 [µg/m3],PM2.5 [µg/m3]
2024-01-22 01:00,19,"8,3"
2024-01-22 02:00,"13,8","13,8"
2024-01-22 03:00,"13,3","8,5"
2024-01-22 04:00,"10,8","5,8"
2024-01-22 05:00,"8,4","4,2"
2024-01-22 06:00,"23,9","2,7"
2024-01-22 07:00,"26,7","1,7"
2024-01-22 08:00,"14,4","5,8"
2024-01-22 09:00,"17,5","4,3"
2024-01-22 10:00,10,"4,7"
2024-01-22 11:00,,"24,1"
2024-01-22 12:00,"14,3","13,3"
2024-01-22 13:00,"36,3",23
2024-01-22 14:00,"39,4","13,7"
2024-01-22 15:00,"31,5","22,8"
2024-01-22 16:00,"44,6","24,9"
2024-01-22 17:00,"44,4","13,3"
2024-01-22 18:00,"36,4",16
2024-01-22 19:00,"22,4","12,4"
2024-01-22 20:00,"31,6","9,3"
2024-01-22 21:00,,25
2024-01-22 22:00,"23,9","12,5"
2024-01-22 23:00,"38,5","6,2"
2024-01-22 24:00,"19,7","3,6"
2024-01-22 01:00,19,"8,3"
2024-01-22 02:00,"13,8","13,8"
2024-01-22 03:00,"13,3","8,5"
2024-01-22 04:00,"10,8","5,8"
2024-01-22 05:00,"8,4","4,2"
2024-01-22 06:00,"23,9","2,7"
2024-01-22 07:00,"26,7","1,7"
2024-01-22 08:00,"14,4","5,8"
2024-01-22 09:00,"17,5","4,3"
2024-01-22 10:00,10,"4,7"
2024-01-22 11:00,,"24,1"
2024-01-22 12:00,"14,3","13,3"
2024-01-22 13:00,"36,3",23
2024-01-22 14:00,"39,4","13,7"
2024-01-22 15:00,"31,5","22,8"
2024-01-22 16:00,"44,6","24,9"
2024-01-22 17:00,"44,4","13,3"
2024-01-22 18:00,"36,4",16
2024-01-22 19:00,"22,4","12,4"
2024-01-22 20:00,"31,6","9,3"
2024-01-22 21:00,,25
2024-01-22 22:00,"23,9","12,5"
2024-01-22 23:00,"38,5","6,2"
2024-01-22 24:00,"19,7","3,6"
2024-01-23 01:00,"11,7","2,6"
2024-01-23 02:00,7,"5,5"
2024-01-23 03:00,"10,8","4,1"
2024-01-23 04:00,"6,5","3,7"
2024-01-23 05:00,"6,9","2,8"
2024-01-23 06:00,"24,4","2,2"
2024-01-23 07:00,"14,2","5,4"
2024-01-23 08:00,"41,8","13,2"
2024-01-23 09:00,"54,6","18,6"
2024-01-23 10:00,"66,9","41,9"
2024-01-23 11:00,"43,8","43,7"
2024-01-23 12:00,"45,3","35,7"
2024-01-23 13:00,"24,4","19,2"
2024-01-23 14:00,"20,4","12,6"
2024-01-23 15:00,"32,9","16,7"
2024-01-23 16:00,18,"8,9"
2024-01-23 17:00,"23,2","5,1"
2024-01-23 18:00,"33,5","14,9"
2024-01-23 19:00,23,"8,6"
2024-01-23 20:00,"41,1","13,6"
2024-01-23 21:00,"37,7","21,7"
2024-01-23 22:00,23,"11,2"
2024-01-23 23:00,"38,1","14,5"
2024-01-23 24:00,"50,2","19,4"
2024-01-24 01:00,"32,4","10,2"
