,PM10 [µg/m3],PM2.5 [µg/m3]
2023-01-23 01:00,"57,8","13,7"
2023-01-23 02:00,"52,7","18,2"
2023-01-23 03:00,"28,1","11,8"
2023-01-23 04:00,"21,4","10,2"
2023-01-23 05:00,"34,8","32,8"
2023-01-23 06:00,"35,8","19,4"
2023-01-23 07:00,75,"20,5"
2023-01-23 08:00,"104,7","46,3"
2023-01-23 09:00,"89,5","34,9"
2023-01-23 10:00,101,"23,4"
2023-01-23 11:00,"84,2","23,2"
2023-01-23 12:00,"69,7","13,5"
2023-01-23 13:00,"49,1","7,3"
2023-01-23 14:00,"63,1","5,4"
2023-01-23 15:00,"33,5","2,9"
2023-01-23 16:00,44,"1,9"
2023-01-23 17:00,"40,6","2,1"
2023-01-23 18:00,"37,4","3,3"
2023-01-23 19:00,"30,1",2
2023-01-23 20:00,"28,8","1,4"
2023-01-23 21:00,32,"1,6"
2023-01-23 22:00,"22,6","2,1"
2023-01-23 23:00,"26,7","3,4"
2023-01-23 24:00,"18,1","8,4"
2023-01-23 01:00,"57,8","13,7"
2023-01-23 02:00,"52,7","18,2"
2023-01-23 03:00,"28,1","11,8"
2023-01-23 04:00,"21,4","10,2"
2023-01-23 05:00,"34,8","32,8"
2023-01-23 06:00,"35,8","19,4"
2023-01-23 07:00,75,"20,5"
2023-01-23 08:00,"104,7","46,3"
2023-01-23 09:00,"89,5","34,9"
2023-01-23 10:00,101,"23,4"
2023-01-23 11:00,"84,2","23,2"
2023-01-23 12:00,"69,7","13,5"
2023-01-23 13:00,"49,1","7,3"
2023-01-23 14:00,"63,1","5,4"
2023-01-23 15:00,"33,5","2,9"
2023-01-23 16:00,44,"1,9"
2023-01-23 17:00,"40,6","2,1"
2023-01-23 18:00,"37,4","3,3"
2023-01-23 19:00,"30,1",2
2023-01-23 20:00,"28,8","1,4"
2023-01-23 21:00,32,"1,6"
2023-01-23 22:00,"22,6","2,1"
2023-01-23 23:00,"26,7","3,4"
2023-01-23 24:00,"18,1","8,4"
2023-01-24 01:00,"23,3","6,4"
2023-01-24 02:00,"20,5","11,3"
2023-01-24 03:00,"11,8","7,2"
2023-01-24 04:00,"28,8","4,3"
2023-01-24 05:00,"26,3","8,2"
2023-01-24 06:00,"75,1","23,4"
2023-01-24 07:00,"56,7","18,5"
2023-01-24 08:00,53,"21,2"
2023-01-24 09:00,"54,1",14
2023-01-24 10:00,"60,8","8,1"
2023-01-24 11:00,"72,4","15,5"
2023-01-24 12:00,"51,2","9,6"
2023-01-24 13:00,"48,5","9,4"
2023-01-24 14:00,"53,4","7,3"
2023-01-24 15:00,"40,9","4,6"
2023-01-24 16:00,"57,8","4,2"
2023-01-24 17:00,"67,3","4,9"
2023-01-24 18:00,"90,3","18,8"
2023-01-24 19:00,"104,6",11
2023-01-24 20:00,"70,9","16,7"
2023-01-24 21:00,"46,2","12,7"
2023-01-24 22:00,"35,4","8,1"
2023-01-24 23:00,"42,2","28,6"
2023-01-24 24:00,"42,9","15,3"
2023-01-25 01:00,51,"9,8"
2023-01-25 02:00,"45,7","23,9"
2023-01-25 03:00,"53,4","13,9"
2023-01-25 04:00,"29,1","15,7"
2023-01-25 05:00,"57,6","21,4"
2023-01-25 06:00,"102,6","19,3"
2023-01-25 07:00,"124,6","34,4"
2023-01-25 08:00,112,"22,6"
2023-01-25 09:00,"110,7","23,1"
2023-01-25 10:00,"70,7","23,6"
2023-01-25 11:00,"68,8","17,7"
2023-01-25 12:00,"50,5","20,1"
2023-01-25 13:00,45,"42,1"
2023-01-25 14:00,"45,5","26,7"
2023-01-25 15:00,"59,6","16,3"
2023-01-25 16:00,"96,8","41,6"
2023-01-25 17:00,"117,3","42,7"
2023-01-25 18:00,"102,6","21,2"
2023-01-25 19:00,"74,5","27,4"
2023-01-25 20:00,"73,7","27,5"
2023-01-25 21:00,"75,3","18,9"
2023-01-25 22:00,"82,8","17,3"
2023-01-25 23:00,53,"12,5"
2023-01-25 24:00,"64,4","7,5"
2023-01-26 01:00,"56,1","12,7"
2023-01-26 02:00,"95,8","36,2"
2023-01-26 03:00,"72,1",27
2023-01-26 04:00,"76,6",21
2023-01-26 05:00,"66,3","23,1"
2023-01-26 06:00,"70,1",22
2023-01-26 07:00,"68,7","13,7"
