,PM10 [µg/m3],PM2.5 [µg/m3]
2024-01-22 01:00,"26,4","13,9"
2024-01-22 02:00,"22,7","11,5"
2024-01-22 03:00,"21,8","6,2"
2024-01-22 04:00,12,7
2024-01-22 05:00,"20,5","19,4"
2024-01-22 06:00,,"20,3"
2024-01-22 07:00,"57,6","19,4"
2024-01-22 08:00,"60,9","24,9"
2024-01-22 09:00,"67,2",15
2024-01-22 10:00,"40,1","7,9"
2024-01-22 11:00,"56,4","9,3"
2024-01-22 12:00,"49,9","28,2"
2024-01-22 13:00,54,16
2024-01-22 14:00,"45,5","9,1"
2024-01-22 15:00,"47,9","8,8"
2024-01-22 16:00,"70,5","11,9"
2024-01-22 17:00,"56,1","8,8"
2024-01-22 18:00,"61,4","23,8"
2024-01-22 19:00,"107,2",23
2024-01-22 20:00,"107,7","26,5"
2024-01-22 21:00,"108,5","23,3"
2024-01-22 22:00,"67,7","12,6"
2024-01-22 23:00,"49,1","8,9"
2024-01-22 24:00,"40,4","6,7"
2024-01-22 01:00,"26,4","13,9"
2024-01-22 02:00,"22,7","11,5"
2024-01-22 03:00,"21,8","6,2"
2024-01-22 04:00,12,7
2024-01-22 05:00,"20,5","19,4"
2024-01-22 06:00,,"20,3"
2024-01-22 07:00,"57,6","19,4"
2024-01-22 08:00,"60,9","24,9"
2024-01-22 09:00,"67,2",15
2024-01-22 10:00,"40,1","7,9"
2024-01-22 11:00,"56,4","9,3"
2024-01-22 12:00,"49,9","28,2"
2024-01-22 13:00,54,16
2024-01-22 14:00,"45,5","9,1"
2024-01-22 15:00,"47,9","8,8"
2024-01-22 16:00,"70,5","11,9"
2024-01-22 17:00,"56,1","8,8"
2024-01-22 18:00,"61,4","23,8"
2024-01-22 19:00,"107,2",23
2024-01-22 20:00,"107,7","26,5"
2024-01-22 21:00,"108,5","23,3"
2024-01-22 22:00,"67,7","12,6"
2024-01-22 23:00,"49,1","8,9"
2024-01-22 24:00,"40,4","6,7"
2024-01-23 01:00,"37,3","12,6"
2024-01-23 02:00,"31,2","15,9"
2024-01-23 03:00,"32,2","25,2"
2024-01-23 04:00,"44,5","22,7"
2024-01-23 05:00,"33,8","33,7"
