Fecha Hora,PM10 [µg/m3],PM2.5 [µg/m3]
2024-01-22 01:00,,"3,9"
2024-01-22 02:00,,"3,8"
2024-01-22 03:00,,4
2024-01-22 04:00,,4
2024-01-22 05:00,,"4,3"
2024-01-22 06:00,,"4,3"
2024-01-22 07:00,,"4,7"
2024-01-22 08:00,"4,6","4,6"
2024-01-22 09:00,"15,9","4,5"
2024-01-22 10:00,"24,7","5,3"
2024-01-22 11:00,"27,4","4,9"
2024-01-22 12:00,"23,1","4,7"
2024-01-22 13:00,"21,9","5,4"
2024-01-22 14:00,21,"5,3"
2024-01-22 15:00,"22,4","5,3"
2024-01-22 16:00,"19,1","5,2"
2024-01-22 17:00,"24,9",5
2024-01-22 18:00,"18,6","4,9"
2024-01-22 19:00,"13,9","4,7"
2024-01-22 20:00,"9,6","4,5"
2024-01-22 21:00,"6,7","4,3"
2024-01-22 22:00,"4,7","4,2"
2024-01-22 23:00,"4,1","4,1"
2024-01-22 24:00,4,4
2024-01-22 01:00,,"3,9"
2024-01-22 02:00,,"3,8"
2024-01-22 03:00,,4
2024-01-22 04:00,,4
2024-01-22 05:00,,"4,3"
2024-01-22 06:00,,"4,3"
2024-01-22 07:00,,"4,7"
2024-01-22 08:00,"4,6","4,6"
2024-01-22 09:00,"15,9","4,5"
2024-01-22 10:00,"24,7","5,3"
2024-01-22 11:00,"27,4","4,9"
2024-01-22 12:00,"23,1","4,7"
2024-01-22 13:00,"21,9","5,4"
2024-01-22 14:00,21,"5,3"
2024-01-22 15:00,"22,4","5,3"
2024-01-22 16:00,"19,1","5,2"
2024-01-22 17:00,"24,9",5
2024-01-22 18:00,"18,6","4,9"
2024-01-22 19:00,"13,9","4,7"
2024-01-22 20:00,"9,6","4,5"
2024-01-22 21:00,"6,7","4,3"
2024-01-22 22:00,"4,7","4,2"
2024-01-22 23:00,"4,1","4,1"
2024-01-22 24:00,4,4
2024-01-23 01:00,,"3,9"
2024-01-23 02:00,,"3,9"
2024-01-23 03:00,,"4,9"
2024-01-23 04:00,,"7,4"
2024-01-23 05:00,"6,8","6,8"
2024-01-23 06:00,"6,9","6,9"
2024-01-23 07:00,"16,4","14,2"
2024-01-23 08:00,"27,7","15,4"
2024-01-23 09:00,"58,6","16,1"
2024-01-23 10:00,"64,6","15,8"
2024-01-23 11:00,"57,1","11,4"
2024-01-23 12:00,"43,9","8,8"
2024-01-23 13:00,"36,1","9,1"
2024-01-23 14:00,"35,2","8,2"
2024-01-23 15:00,"32,2","7,1"
2024-01-23 16:00,"29,5","8,9"
2024-01-23 17:00,"26,8","6,9"
2024-01-23 18:00,"24,2","5,6"
2024-01-23 19:00,"22,3","4,2"
2024-01-23 20:00,"15,5","3,3"
2024-01-23 21:00,"10,7","2,6"
2024-01-23 22:00,"7,5","2,1"
2024-01-23 23:00,"5,2","1,9"
2024-01-23 24:00,"3,8","3,2"
2024-01-24 01:00,,"4,9"
2024-01-24 02:00,,"7,7"
2024-01-24 03:00,,"8,1"
2024-01-24 04:00,"7,6","7,6"
2024-01-24 05:00,"19,8","14,7"
2024-01-24 06:00,"37,6","20,5"
2024-01-24 07:00,"35,5","26,9"
2024-01-24 08:00,"50,8","28,6"
2024-01-24 09:00,"92,4","35,7"
2024-01-24 10:00,"102,2","37,7"
2024-01-24 11:00,"93,8","26,6"
2024-01-24 12:00,"63,7","19,3"
2024-01-24 13:00,"54,7","19,2"
2024-01-24 14:00,45,"15,1"
2024-01-24 15:00,"34,4","13,9"
2024-01-24 16:00,"29,5","13,6"
2024-01-24 17:00,"42,2","12,4"
2024-01-24 18:00,44,"25,9"
2024-01-24 19:00,42,"18,9"
2024-01-24 20:00,"33,9","15,2"
2024-01-24 21:00,"23,7",15
2024-01-24 22:00,"18,5","11,8"
2024-01-24 23:00,"21,5","19,3"
2024-01-24 24:00,"18,4",14
2024-01-25 01:00,13,12
2024-01-25 02:00,,"15,6"
2024-01-25 03:00,,"19,3"
2024-01-25 04:00,,"21,2"
2024-01-25 05:00,,"15,9"
2024-01-25 06:00,"21,8","16,4"
2024-01-25 07:00,"25,5","25,5"
2024-01-25 08:00,"46,8","27,5"
2024-01-25 09:00,"109,3","41,3"
2024-01-25 10:00,"140,2","50,3"
2024-01-25 11:00,"135,2","38,5"
2024-01-25 12:00,"118,7","56,7"
2024-01-25 13:00,"104,9","51,8"
2024-01-25 14:00,"80,3","44,9"
2024-01-25 15:00,"67,4","33,2"
2024-01-25 16:00,"71,8","29,2"
2024-01-25 17:00,"68,3",25
2024-01-25 18:00,65,"31,4"
2024-01-25 19:00,"59,3","24,5"
2024-01-25 20:00,"49,4","21,1"
2024-01-25 21:00,"42,3","20,2"
2024-01-25 22:00,"36,7","21,3"
2024-01-25 23:00,"35,8","19,3"
