Fecha Hora,PM10 [µg/m3],PM2.5 [µg/m3]
2024-01-22 01:00,16,7
2024-01-22 02:00,8,8
2024-01-22 03:00,8,7
2024-01-22 04:00,,10
2024-01-22 05:00,10,10
2024-01-22 06:00,13,10
2024-01-22 07:00,19,9
2024-01-22 08:00,17,7
2024-01-22 09:00,12,12
2024-01-22 10:00,18,6
2024-01-22 11:00,19,4
2024-01-22 12:00,14,5
2024-01-22 13:00,11,3
2024-01-22 14:00,17,3
2024-01-22 15:00,19,7
2024-01-22 16:00,16,10
2024-01-22 17:00,23,16
2024-01-22 18:00,24,12
2024-01-22 19:00,27,12
2024-01-22 20:00,24,10
2024-01-22 21:00,19,6
2024-01-22 22:00,18,14
2024-01-22 23:00,16,8
2024-01-22 24:00,8,8
2024-01-22 01:00,16,7
2024-01-22 02:00,8,8
2024-01-22 03:00,8,7
2024-01-22 04:00,,10
2024-01-22 05:00,10,10
2024-01-22 06:00,13,10
2024-01-22 07:00,19,9
2024-01-22 08:00,17,7
2024-01-22 09:00,12,12
2024-01-22 10:00,18,6
2024-01-22 11:00,19,4
2024-01-22 12:00,14,5
2024-01-22 13:00,11,3
2024-01-22 14:00,17,3
2024-01-22 15:00,19,7
2024-01-22 16:00,16,10
2024-01-22 17:00,23,16
2024-01-22 18:00,24,12
2024-01-22 19:00,27,12
2024-01-22 20:00,24,10
2024-01-22 21:00,19,6
2024-01-22 22:00,18,14
2024-01-22 23:00,16,8
2024-01-22 24:00,8,8
2024-01-23 01:00,7,4
2024-01-23 02:00,5,3
2024-01-23 03:00,7,3
2024-01-23 04:00,14,6
2024-01-23 05:00,14,5
2024-01-23 06:00,23,4
2024-01-23 07:00,21,4
2024-01-23 08:00,20,8
2024-01-23 09:00,19,6
2024-01-23 10:00,10,2
2024-01-23 11:00,8,2
2024-01-23 12:00,17,6
2024-01-23 13:00,15,8
2024-01-23 14:00,19,5
2024-01-23 15:00,18,3
2024-01-23 16:00,27,8
2024-01-23 17:00,23,6
2024-01-23 18:00,28,9
2024-01-23 19:00,30,15
2024-01-23 20:00,25,10
2024-01-23 21:00,30,17
2024-01-23 22:00,,21
2024-01-23 23:00,18,6
2024-01-23 24:00,14,7
2024-01-24 01:00,10,10
2024-01-24 02:00,10,7
2024-01-24 03:00,7,5
2024-01-24 04:00,8,1
2024-01-24 05:00,11,"0,7"
2024-01-24 06:00,15,6
2024-01-24 07:00,21,9
2024-01-24 08:00,42,7
2024-01-24 09:00,47,11
2024-01-24 10:00,25,23
2024-01-24 11:00,7,6
2024-01-24 12:00,12,3
2024-01-24 13:00,14,2
2024-01-24 14:00,19,7
2024-01-24 15:00,18,8
2024-01-24 16:00,24,5
2024-01-24 17:00,16,5
2024-01-24 18:00,25,8
2024-01-24 19:00,24,8
2024-01-24 20:00,20,10
2024-01-24 21:00,19,9
2024-01-24 22:00,24,10
2024-01-24 23:00,17,8
2024-01-24 24:00,12,11
2024-01-25 01:00,12,10
2024-01-25 02:00,13,7
2024-01-25 03:00,10,5
2024-01-25 04:00,6,6
2024-01-25 05:00,11,6
2024-01-25 06:00,12,6
2024-01-25 07:00,19,6
2024-01-25 08:00,22,7
2024-01-25 09:00,47,7
2024-01-25 10:00,83,14
2024-01-25 11:00,103,44
2024-01-25 12:00,,52
2024-01-25 13:00,38,20
2024-01-25 14:00,43,10
2024-01-25 15:00,40,13
2024-01-25 16:00,101,10
2024-01-25 17:00,89,36
2024-01-25 18:00,81,34
2024-01-25 19:00,69,38
2024-01-25 20:00,56,41
2024-01-25 21:00,27,23
2024-01-25 22:00,54,23
2024-01-25 23:00,51,33
2024-01-25 24:00,67,39
2024-01-26 01:00,63,50
2024-01-26 02:00,54,46
2024-01-26 03:00,49,37
2024-01-26 04:00,28,28
2024-01-26 05:00,34,22
2024-01-26 06:00,39,21
2024-01-26 07:00,52,30
2024-01-26 08:00,59,31
2024-01-26 09:00,37,37
2024-01-26 10:00,43,22
2024-01-26 11:00,53,29
2024-01-26 12:00,28,22
2024-01-26 13:00,22,17
2024-01-26 14:00,,23
2024-01-26 15:00,17,9
2024-01-26 16:00,21,6
2024-01-26 17:00,29,5
2024-01-26 18:00,87,11
2024-01-26 19:00,49,39
2024-01-26 20:00,33,24
2024-01-26 21:00,30,14
2024-01-26 22:00,23,15
2024-01-26 23:00,27,12
2024-01-26 24:00,34,12
2024-01-27 01:00,21,15
2024-01-27 02:00,27,21
2024-01-27 03:00,28,18
2024-01-27 04:00,31,18
2024-01-27 05:00,34,20
2024-01-27 06:00,30,18
2024-01-27 07:00,29,19
2024-01-27 08:00,52,18
2024-01-27 09:00,84,28
2024-01-27 10:00,69,41
2024-01-27 11:00,47,40
2024-01-27 12:00,56,25
2024-01-27 13:00,93,32
2024-01-27 14:00,84,49
2024-01-27 15:00,74,37
2024-01-27 16:00,70,34
2024-01-27 17:00,67,35
2024-01-27 18:00,63,36
2024-01-27 19:00,56,39
2024-01-27 20:00,53,32
2024-01-27 21:00,57,31
2024-01-27 22:00,85,43
2024-01-27 23:00,75,49
2024-01-27 24:00,52,40
2024-01-28 01:00,47,36
2024-01-28 02:00,47,32
