Fecha Hora,PM10 [µg/m3],PM2.5 [µg/m3]
2023-01-23 01:00,"23,3",13
2023-01-23 02:00,"34,5",11
2023-01-23 03:00,"25,4",12
2023-01-23 04:00,"25,4",18
2023-01-23 05:00,"29,8",21
2023-01-23 06:00,"39,8",22
2023-01-23 07:00,"63,5",24
2023-01-23 08:00,"62,9",26
2023-01-23 09:00,"88,8",11
2023-01-23 10:00,"54,5",8
2023-01-23 11:00,"49,5",9
2023-01-23 12:00,"33,7",8
2023-01-23 13:00,"25,1",7
2023-01-23 14:00,"28,6",6
2023-01-23 15:00,"33,3",8
2023-01-23 16:00,"40,6",9
2023-01-23 17:00,"29,5",6
2023-01-23 18:00,"26,6",6
2023-01-23 19:00,"41,8",10
2023-01-23 20:00,"43,1",6
2023-01-23 21:00,"30,8",6
2023-01-23 22:00,"36,5",7
2023-01-23 23:00,"25,9",6
2023-01-23 24:00,"24,3",4
2023-01-23 01:00,"23,3",13
2023-01-23 02:00,"34,5",11
2023-01-23 03:00,"25,4",12
2023-01-23 04:00,"25,4",18
2023-01-23 05:00,"29,8",21
2023-01-23 06:00,"39,8",22
2023-01-23 07:00,"63,5",24
2023-01-23 08:00,"62,9",26
2023-01-23 09:00,"88,8",11
2023-01-23 10:00,"54,5",8
2023-01-23 11:00,"49,5",9
2023-01-23 12:00,"33,7",8
2023-01-23 13:00,"25,1",7
2023-01-23 14:00,"28,6",6
2023-01-23 15:00,"33,3",8
2023-01-23 16:00,"40,6",9
2023-01-23 17:00,"29,5",6
2023-01-23 18:00,"26,6",6
2023-01-23 19:00,"41,8",10
2023-01-23 20:00,"43,1",6
2023-01-23 21:00,"30,8",6
2023-01-23 22:00,"36,5",7
2023-01-23 23:00,"25,9",6
2023-01-23 24:00,"24,3",4
2023-01-24 01:00,"17,2",2
2023-01-24 02:00,"13,7",2
2023-01-24 03:00,"15,5",1
2023-01-24 04:00,12,1
2023-01-24 05:00,"18,6",10
2023-01-24 06:00,52,26
2023-01-24 07:00,"81,9",30
2023-01-24 08:00,"103,1",22
2023-01-24 09:00,80,4
2023-01-24 10:00,"79,3",6
2023-01-24 11:00,"63,1",5
2023-01-24 12:00,"46,1",7
2023-01-24 13:00,"50,9",6
2023-01-24 14:00,"36,3",7
2023-01-24 15:00,"32,4",5
2023-01-24 16:00,32,2
2023-01-24 17:00,"29,2",5
2023-01-24 18:00,"30,6",7
2023-01-24 19:00,33,17
2023-01-24 20:00,"47,4",13
2023-01-24 21:00,"48,1",10
2023-01-24 22:00,"37,4",9
2023-01-24 23:00,"40,9",9
2023-01-24 24:00,33,8
2023-01-25 01:00,"38,4",11
2023-01-25 02:00,"40,7",13
2023-01-25 03:00,"35,5",25
2023-01-25 04:00,"31,7",22
2023-01-25 05:00,"42,9",22
2023-01-25 06:00,"58,5",27
2023-01-25 07:00,"58,1",24
2023-01-25 08:00,"61,8",24
2023-01-25 09:00,"73,5",29
2023-01-25 10:00,"69,1",15
2023-01-25 11:00,"76,3",9
2023-01-25 12:00,"63,7",17
2023-01-25 13:00,"60,2",12
2023-01-25 14:00,"50,3",10
2023-01-25 15:00,"48,4",9
2023-01-25 16:00,"43,9",21
2023-01-25 17:00,"37,8",28
2023-01-25 18:00,45,26
2023-01-25 19:00,"51,9",24
2023-01-25 20:00,58,33
2023-01-25 21:00,67,34
2023-01-25 22:00,"75,4",42
2023-01-25 23:00,"90,8",31
2023-01-25 24:00,"95,1",24
2023-01-26 01:00,"62,8",15
2023-01-26 02:00,"45,3",17
2023-01-26 03:00,"42,9",16
2023-01-26 04:00,45,23
2023-01-26 05:00,"42,7",17
2023-01-26 06:00,"54,9",27
2023-01-26 07:00,66,25
2023-01-26 08:00,"65,3",33
2023-01-26 09:00,"68,6",40
2023-01-26 10:00,"75,7",24
2023-01-26 11:00,"52,5",
2023-01-26 12:00,"35,9",
2023-01-26 13:00,"43,9",
2023-01-26 14:00,"49,1",8
2023-01-26 15:00,"34,8",11
2023-01-26 16:00,"32,7",9
2023-01-26 17:00,"46,7",23
2023-01-26 18:00,"42,6",24
2023-01-26 19:00,38,34
2023-01-26 20:00,"48,4",37
2023-01-26 21:00,"59,5",36
2023-01-26 22:00,"45,9",23
2023-01-26 23:00,"47,5",17
2023-01-26 24:00,"46,8",19
2023-01-27 01:00,"36,3",16
2023-01-27 02:00,37,15
2023-01-27 03:00,"34,1",21
2023-01-27 04:00,"41,9",17
2023-01-27 05:00,"46,1",32
2023-01-27 06:00,"75,5",36
2023-01-27 07:00,"85,7",44
2023-01-27 08:00,98,34
2023-01-27 09:00,"103,3",38
2023-01-27 10:00,"102,4",30
2023-01-27 11:00,"68,8",20
2023-01-27 12:00,"57,7",15
2023-01-27 13:00,"43,4",11
2023-01-27 14:00,"49,9",11
2023-01-27 15:00,"39,4",10
2023-01-27 16:00,"48,8",27
2023-01-27 17:00,"44,9",26
2023-01-27 18:00,"54,5",18
2023-01-27 19:00,"44,5",25
2023-01-27 20:00,"47,2",37
2023-01-27 21:00,"40,5",28
2023-01-27 22:00,47,26
2023-01-27 23:00,"57,8",20
2023-01-27 24:00,"49,2",22
2023-01-28 01:00,"40,7",22
2023-01-28 02:00,"44,9",22
2023-01-28 03:00,37,27
2023-01-28 04:00,"30,7",21
2023-01-28 05:00,"46,6",31
2023-01-28 06:00,"60,2",48
2023-01-28 07:00,"93,7",36
2023-01-28 08:00,"91,3",46
2023-01-28 09:00,"97,5",38
2023-01-28 10:00,"105,7",25
2023-01-28 11:00,"78,8",22
2023-01-28 12:00,"72,1",23
2023-01-28 13:00,"58,7",22
2023-01-28 14:00,"76,6",28
2023-01-28 15:00,"61,7",40
2023-01-28 16:00,"51,9",30
2023-01-28 17:00,"43,4",27
2023-01-28 18:00,"30,9",19
2023-01-28 19:00,"64,2",31
2023-01-28 20:00,"75,2",32
2023-01-28 21:00,"106,7",71
2023-01-28 22:00,"145,7",50
2023-01-28 23:00,96,29
2023-01-28 24:00,"76,2",23
2023-01-29 01:00,"65,8",23
2023-01-29 02:00,"49,8",21
2023-01-29 03:00,"48,8",20
2023-01-29 04:00,"43,7",23
2023-01-29 05:00,38,21
2023-01-29 06:00,"41,6",25
2023-01-29 07:00,"55,2",30
2023-01-29 08:00,"69,2",35
2023-01-29 09:00,"79,4",35
2023-01-29 10:00,"76,9",25
