Fecha Hora,PM10 [µg/m3],PM2.5 [µg/m3]
2024-01-22 01:00,"47,5",18
2024-01-22 02:00,"55,8",14
2024-01-22 03:00,"53,9",8
2024-01-22 04:00,"40,5",23
2024-01-22 05:00,"50,5",39
2024-01-22 06:00,"69,8",36
2024-01-22 07:00,"73,1",32
2024-01-22 08:00,"96,5",21
2024-01-22 09:00,"88,2",12
2024-01-22 10:00,"73,7",7
2024-01-22 11:00,"59,3",3
2024-01-22 12:00,"43,5",4
2024-01-22 13:00,35,3
2024-01-22 14:00,"40,6",8
2024-01-22 15:00,"34,4",3
2024-01-22 16:00,"31,4",2
2024-01-22 17:00,"34,5",6
2024-01-22 18:00,"24,2",8
2024-01-22 19:00,,36
2024-01-22 20:00,"28,1",8
2024-01-22 21:00,,37
2024-01-22 22:00,,54
2024-01-22 23:00,"85,5",79
2024-01-22 24:00,"131,1",34
2024-01-22 01:00,"47,5",18
2024-01-22 02:00,"55,8",14
2024-01-22 03:00,"53,9",8
2024-01-22 04:00,"40,5",23
2024-01-22 05:00,"50,5",39
2024-01-22 06:00,"69,8",36
2024-01-22 07:00,"73,1",32
2024-01-22 08:00,"96,5",21
2024-01-22 09:00,"88,2",12
2024-01-22 10:00,"73,7",7
2024-01-22 11:00,"59,3",3
2024-01-22 12:00,"43,5",4
2024-01-22 13:00,35,3
2024-01-22 14:00,"40,6",8
2024-01-22 15:00,"34,4",3
2024-01-22 16:00,"31,4",2
2024-01-22 17:00,"34,5",6
2024-01-22 18:00,"24,2",8
2024-01-22 19:00,,36
2024-01-22 20:00,"28,1",8
2024-01-22 21:00,,37
2024-01-22 22:00,,54
2024-01-22 23:00,"85,5",79
2024-01-22 24:00,"131,1",34
2024-01-23 01:00,"125,3",27
2024-01-23 02:00,"123,1",21
2024-01-23 03:00,"89,6",17
2024-01-23 04:00,"74,8",42
2024-01-23 05:00,"82,7",46
2024-01-23 06:00,"91,3",35
2024-01-23 07:00,87,27
2024-01-23 08:00,"94,6",38
2024-01-23 09:00,"95,7",20
2024-01-23 10:00,"88,5",5
2024-01-23 11:00,"76,3",5
2024-01-23 12:00,"57,9",3
2024-01-23 13:00,"50,7",1
2024-01-23 14:00,"54,8",5
2024-01-23 15:00,"40,1",9
2024-01-23 16:00,32,5
2024-01-23 17:00,"32,3",8
2024-01-23 18:00,"31,4",8
2024-01-23 19:00,"37,4",13
2024-01-23 20:00,29,15
2024-01-23 21:00,"40,8",19
2024-01-23 22:00,"41,4",20
2024-01-23 23:00,"42,4",42
2024-01-23 24:00,"66,9",24
2024-01-24 01:00,71,35
2024-01-24 02:00,73,30
2024-01-24 03:00,"67,1",43
2024-01-24 04:00,,76
2024-01-24 05:00,"79,9",68
2024-01-24 06:00,"82,9",74
2024-01-24 07:00,"100,6",72
2024-01-24 08:00,"103,7",77
2024-01-24 09:00,"115,5",56
2024-01-24 10:00,"118,3",13
2024-01-24 11:00,"86,8",6
2024-01-24 12:00,53,2
2024-01-24 13:00,"39,4",1
2024-01-24 14:00,"37,7",2
2024-01-24 15:00,"46,4",4
2024-01-24 16:00,"32,3",3
2024-01-24 17:00,"23,9",8
2024-01-24 18:00,"24,9",9
2024-01-24 19:00,"19,2",6
2024-01-24 20:00,"18,4",7
2024-01-24 21:00,"25,5",14
2024-01-24 22:00,"30,4",24
2024-01-24 23:00,"41,7",25
2024-01-24 24:00,"51,9",28
2024-01-25 01:00,52,27
2024-01-25 02:00,"65,4",24
2024-01-25 03:00,"69,3",40
2024-01-25 04:00,"72,2",34
2024-01-25 05:00,"65,4",42
2024-01-25 06:00,90,52
2024-01-25 07:00,"82,1",42
2024-01-25 08:00,"77,6",60
2024-01-25 09:00,"87,7",62
2024-01-25 10:00,"97,4",45
2024-01-25 11:00,"75,8",16
2024-01-25 12:00,"56,7",11
2024-01-25 13:00,"53,5",7
2024-01-25 14:00,"47,9",5
2024-01-25 15:00,"37,6",17
2024-01-25 16:00,"36,9",28
2024-01-25 17:00,"51,4",20
2024-01-25 18:00,49,17
2024-01-25 19:00,59,22
2024-01-25 20:00,42,23
2024-01-25 21:00,"51,9",17
2024-01-25 22:00,"46,3",35
