,PM10 [µg/m3],PM2.5 [µg/m3]
2023-01-23 01:00,14,
2023-01-23 02:00,14,9
2023-01-23 03:00,16,16
2023-01-23 04:00,31,12
2023-01-23 05:00,23,19
2023-01-23 06:00,23,20
2023-01-23 07:00,32,15
2023-01-23 08:00,31,17
2023-01-23 09:00,33,17
2023-01-23 10:00,27,12
2023-01-23 11:00,29,12
2023-01-23 12:00,20,10
2023-01-23 13:00,22,15
2023-01-23 14:00,26,10
2023-01-23 15:00,18,8
2023-01-23 16:00,11,11
2023-01-23 17:00,11,10
2023-01-23 18:00,10,10
2023-01-23 19:00,11,11
2023-01-23 20:00,21,13
2023-01-23 21:00,16,16
2023-01-23 22:00,27,9
2023-01-23 23:00,8,8
2023-01-23 24:00,9,9
2023-01-23 01:00,14,
2023-01-23 02:00,14,9
2023-01-23 03:00,16,16
2023-01-23 04:00,31,12
2023-01-23 05:00,23,19
2023-01-23 06:00,23,20
2023-01-23 07:00,32,15
2023-01-23 08:00,31,17
2023-01-23 09:00,33,17
2023-01-23 10:00,27,12
2023-01-23 11:00,29,12
2023-01-23 12:00,20,10
2023-01-23 13:00,22,15
2023-01-23 14:00,26,10
2023-01-23 15:00,18,8
2023-01-23 16:00,11,11
2023-01-23 17:00,11,10
2023-01-23 18:00,10,10
2023-01-23 19:00,11,11
2023-01-23 20:00,21,13
2023-01-23 21:00,16,16
2023-01-23 22:00,27,9
2023-01-23 23:00,8,8
2023-01-23 24:00,9,9
2023-01-24 01:00,9,8
2023-01-24 02:00,10,10
2023-01-24 03:00,9,9
2023-01-24 04:00,16,10
2023-01-24 05:00,14,14
2023-01-24 06:00,19,14
2023-01-24 07:00,26,23
2023-01-24 08:00,24,13
2023-01-24 09:00,22,17
2023-01-24 10:00,27,12
2023-01-24 11:00,27,8
2023-01-24 12:00,,8
2023-01-24 13:00,,10
2023-01-24 14:00,,10
2023-01-24 15:00,,9
2023-01-24 16:00,,15
2023-01-24 17:00,,18
2023-01-24 18:00,,16
2023-01-24 19:00,,17
2023-01-24 20:00,,15
2023-01-24 21:00,,17
2023-01-24 22:00,,15
2023-01-24 23:00,,12
2023-01-24 24:00,,17
2023-01-25 01:00,,15
2023-01-25 02:00,,19
2023-01-25 03:00,,22
2023-01-25 04:00,,12
2023-01-25 05:00,,15
2023-01-25 06:00,,20
2023-01-25 07:00,,23
2023-01-25 08:00,,36
2023-01-25 09:00,,11
2023-01-25 10:00,,8
2023-01-25 11:00,,27
2023-01-25 12:00,,13
2023-01-25 13:00,,15
2023-01-25 14:00,,24
2023-01-25 15:00,,21
2023-01-25 16:00,,25
2023-01-25 17:00,,20
2023-01-25 18:00,,31
2023-01-25 19:00,,30
2023-01-25 20:00,,19
2023-01-25 21:00,,17
2023-01-25 22:00,,21
2023-01-25 23:00,,25
2023-01-25 24:00,,20
2023-01-26 01:00,,19
2023-01-26 02:00,,22
2023-01-26 03:00,,23
2023-01-26 04:00,,19
2023-01-26 05:00,,18
2023-01-26 06:00,,27
2023-01-26 07:00,,22
2023-01-26 08:00,,29
2023-01-26 09:00,,19
2023-01-26 10:00,,13
2023-01-26 11:00,,12
2023-01-26 12:00,,12
2023-01-26 13:00,,14
2023-01-26 14:00,,9
2023-01-26 15:00,,22
2023-01-26 16:00,,35
2023-01-26 17:00,,40
2023-01-26 18:00,,38
2023-01-26 19:00,,32
2023-01-26 20:00,,20
2023-01-26 21:00,,21
2023-01-26 22:00,,18
2023-01-26 23:00,,22
2023-01-26 24:00,,21
2023-01-27 01:00,,31
2023-01-27 02:00,,32
2023-01-27 03:00,,33
2023-01-27 04:00,,27
2023-01-27 05:00,,37
2023-01-27 06:00,,33
2023-01-27 07:00,,28
2023-01-27 08:00,,30
2023-01-27 09:00,,52
2023-01-27 10:00,,51
2023-01-27 11:00,,47
2023-01-27 12:00,78,36
2023-01-27 13:00,73,27
2023-01-27 14:00,53,44
2023-01-27 15:00,102,43
2023-01-27 16:00,100,47
2023-01-27 17:00,105,41
2023-01-27 18:00,89,43
2023-01-27 19:00,80,45
2023-01-27 20:00,84,25
2023-01-27 21:00,41,22
2023-01-27 22:00,33,25
2023-01-27 23:00,36,25
2023-01-27 24:00,32,17
2023-01-28 01:00,50,18
2023-01-28 02:00,45,28
2023-01-28 03:00,63,25
2023-01-28 04:00,64,27
2023-01-28 05:00,57,34
2023-01-28 06:00,56,30
2023-01-28 07:00,50,30
2023-01-28 08:00,48,40
2023-01-28 09:00,77,55
2023-01-28 10:00,112,59
2023-01-28 11:00,97,60
2023-01-28 12:00,109,33
2023-01-28 13:00,67,52
2023-01-28 14:00,111,37
2023-01-28 15:00,86,34
2023-01-28 16:00,81,25
2023-01-28 17:00,81,24
2023-01-28 18:00,35,33
2023-01-28 19:00,48,24
2023-01-28 20:00,36,24
