,PM10 [µg/m3],PM2.5 [µg/m3]
2023-01-23 01:00,"14,6",10
2023-01-23 02:00,"9,2",8
2023-01-23 03:00,"10,7",2
2023-01-23 04:00,17,0
2023-01-23 05:00,"10,6",4
2023-01-23 06:00,"10,4",6
2023-01-23 07:00,21,2
2023-01-23 08:00,"27,3",6
2023-01-23 09:00,"13,6",9
2023-01-23 10:00,20,2
2023-01-23 11:00,"11,4",2
2023-01-23 12:00,"11,9",7
2023-01-23 13:00,"15,8",5
2023-01-23 14:00,"12,7",5
2023-01-23 15:00,"10,1",3
2023-01-23 16:00,"9,1",2
2023-01-23 17:00,"7,7",0
2023-01-23 18:00,"16,5",0
2023-01-23 19:00,4,4
2023-01-23 20:00,"17,8",2
2023-01-23 21:00,"8,2",4
2023-01-23 22:00,"8,7",6
2023-01-23 23:00,"9,7",3
2023-01-23 24:00,"7,5",0
2023-01-23 01:00,"14,6",10
2023-01-23 02:00,"9,2",8
2023-01-23 03:00,"10,7",2
2023-01-23 04:00,17,0
2023-01-23 05:00,"10,6",4
2023-01-23 06:00,"10,4",6
2023-01-23 07:00,21,2
2023-01-23 08:00,"27,3",6
2023-01-23 09:00,"13,6",9
2023-01-23 10:00,20,2
2023-01-23 11:00,"11,4",2
2023-01-23 12:00,"11,9",7
2023-01-23 13:00,"15,8",5
2023-01-23 14:00,"12,7",5
2023-01-23 15:00,"10,1",3
2023-01-23 16:00,"9,1",2
2023-01-23 17:00,"7,7",0
2023-01-23 18:00,"16,5",0
2023-01-23 19:00,4,4
2023-01-23 20:00,"17,8",2
2023-01-23 21:00,"8,2",4
2023-01-23 22:00,"8,7",6
2023-01-23 23:00,"9,7",3
2023-01-23 24:00,"7,5",0
2023-01-24 01:00,"4,8",0
2023-01-24 02:00,"6,5",2
2023-01-24 03:00,"8,5",7
2023-01-24 04:00,7,7
2023-01-24 05:00,"6,9",2
2023-01-24 06:00,"9,4",3
2023-01-24 07:00,"15,1",6
2023-01-24 08:00,"7,7",3
2023-01-24 09:00,"9,5",1
2023-01-24 10:00,"15,8",6
2023-01-24 11:00,"11,7",4
2023-01-24 12:00,5,0
2023-01-24 13:00,"3,3",3
2023-01-24 14:00,"6,5",4
2023-01-24 15:00,5,5
2023-01-24 16:00,"7,2",5
2023-01-24 17:00,"16,7",0
2023-01-24 18:00,"14,1",0
2023-01-24 19:00,"12,2",1
2023-01-24 20:00,"12,1",6
