,PM10 [µg/m3],PM2.5 [µg/m3]
2024-01-22 01:00,"9,8",0
2024-01-22 02:00,9,0
2024-01-22 03:00,10,5
2024-01-22 04:00,"18,9",8
2024-01-22 05:00,"7,8",4
2024-01-22 06:00,"8,3",5
2024-01-22 07:00,"23,3",8
2024-01-22 08:00,22,22
2024-01-22 09:00,"27,9",11
2024-01-22 10:00,"13,5",6
2024-01-22 11:00,11,4
2024-01-22 12:00,8,7
2024-01-22 13:00,"10,5",8
2024-01-22 14:00,"13,5",9
2024-01-22 15:00,"13,5",11
2024-01-22 16:00,"13,2",10
2024-01-22 17:00,"10,3",6
2024-01-22 18:00,"8,3",3
2024-01-22 19:00,"23,1",3
2024-01-22 20:00,"20,6",6
2024-01-22 21:00,"12,9",5
2024-01-22 22:00,"12,7",7
2024-01-22 23:00,"15,7",6
2024-01-22 24:00,"39,8",17
2024-01-22 01:00,"9,8",0
2024-01-22 02:00,9,0
2024-01-22 03:00,10,5
2024-01-22 04:00,"18,9",8
2024-01-22 05:00,"7,8",4
2024-01-22 06:00,"8,3",5
2024-01-22 07:00,"23,3",8
2024-01-22 08:00,22,22
2024-01-22 09:00,"27,9",11
2024-01-22 10:00,"13,5",6
2024-01-22 11:00,11,4
2024-01-22 12:00,8,7
2024-01-22 13:00,"10,5",8
2024-01-22 14:00,"13,5",9
2024-01-22 15:00,"13,5",11
2024-01-22 16:00,"13,2",10
2024-01-22 17:00,"10,3",6
2024-01-22 18:00,"8,3",3
2024-01-22 19:00,"23,1",3
2024-01-22 20:00,"20,6",6
2024-01-22 21:00,"12,9",5
2024-01-22 22:00,"12,7",7
2024-01-22 23:00,"15,7",6
2024-01-22 24:00,"39,8",17
2024-01-23 01:00,"41,5",9
2024-01-23 02:00,"17,1",5
2024-01-23 03:00,"18,4",2
2024-01-23 04:00,"29,6",6
2024-01-23 05:00,"29,4",8
2024-01-23 06:00,"98,2",15
2024-01-23 07:00,50,18
2024-01-23 08:00,23,11
2024-01-23 09:00,"23,3",12
2024-01-23 10:00,"31,1",12
2024-01-23 11:00,"18,8",4
2024-01-23 12:00,"18,1",0
2024-01-23 13:00,"24,9",2
2024-01-23 14:00,"13,3",1
2024-01-23 15:00,"32,8",22
2024-01-23 16:00,"21,1",14
2024-01-23 17:00,"30,5",12
2024-01-23 18:00,"22,5",10
2024-01-23 19:00,"21,3",16
2024-01-23 20:00,"27,2",10
2024-01-23 21:00,19,19
2024-01-23 22:00,"23,8",0
2024-01-23 23:00,"33,8",21
2024-01-23 24:00,23,14
2024-01-24 01:00,"25,2",17
2024-01-24 02:00,"28,2",12
2024-01-24 03:00,"16,9",10
2024-01-24 04:00,"16,1",4
2024-01-24 05:00,27,27
2024-01-24 06:00,"43,9",11
2024-01-24 07:00,"28,9",11
2024-01-24 08:00,"65,7",24
2024-01-24 09:00,31,17
2024-01-24 10:00,"24,8",1
2024-01-24 11:00,"26,2",15
2024-01-24 12:00,"21,6",3
2024-01-24 13:00,"12,2",8
2024-01-24 14:00,"13,3",11
2024-01-24 15:00,"21,6",17
2024-01-24 16:00,13,3
2024-01-24 17:00,"12,5",2
2024-01-24 18:00,"17,1",0
2024-01-24 19:00,"18,1",0
2024-01-24 20:00,"21,1",6
2024-01-24 21:00,"19,3",7
2024-01-24 22:00,"17,9",3
2024-01-24 23:00,"26,4",8
2024-01-24 24:00,17,17
2024-01-25 01:00,"12,9",6
2024-01-25 02:00,"30,8",15
2024-01-25 03:00,"30,3",10
2024-01-25 04:00,"27,7",12
2024-01-25 05:00,"34,2",20
2024-01-25 06:00,"49,7",23
2024-01-25 07:00,"73,2",32
2024-01-25 08:00,"52,7",27
2024-01-25 09:00,89,46
2024-01-25 10:00,"112,9",61
2024-01-25 11:00,"93,8",42
2024-01-25 12:00,"35,6",16
2024-01-25 13:00,"17,4",2
2024-01-25 14:00,"24,8",18
2024-01-25 15:00,,8
2024-01-25 16:00,,
2024-01-25 17:00,"46,2",14
2024-01-25 18:00,"27,1",12
2024-01-25 19:00,"27,1",6
2024-01-25 20:00,"31,3",23
2024-01-25 21:00,"37,9",13
2024-01-25 22:00,"35,5",18
2024-01-25 23:00,"27,1",20
2024-01-25 24:00,"27,9",10
2024-01-26 01:00,"31,6",20
2024-01-26 02:00,"31,4",26
2024-01-26 03:00,"39,1",21
2024-01-26 04:00,"40,5",25
2024-01-26 05:00,42,35
2024-01-26 06:00,"42,5",24
2024-01-26 07:00,"65,9",36
2024-01-26 08:00,"91,3",59
2024-01-26 09:00,62,45
2024-01-26 10:00,"29,6",12
2024-01-26 11:00,"39,6",15
2024-01-26 12:00,"32,8",26
2024-01-26 13:00,"30,1",11
2024-01-26 14:00,"25,5",15
2024-01-26 15:00,"16,3",13
2024-01-26 16:00,"14,7",12
2024-01-26 17:00,"18,9",3
2024-01-26 18:00,"29,4",0
2024-01-26 19:00,"34,3",6
2024-01-26 20:00,"24,7",14
2024-01-26 21:00,"24,7",23
2024-01-26 22:00,"18,6",8
2024-01-26 23:00,"18,4",10
2024-01-26 24:00,"24,2",17
2024-01-27 01:00,"24,6",9
2024-01-27 02:00,30,20
2024-01-27 03:00,"26,9",21
2024-01-27 04:00,"29,3",20
2024-01-27 05:00,"42,4",14
2024-01-27 06:00,"52,7",26
2024-01-27 07:00,"46,6",22
2024-01-27 08:00,"60,7",33
2024-01-27 09:00,"76,4",43
2024-01-27 10:00,"61,7",34
2024-01-27 11:00,"48,3",25
2024-01-27 12:00,"43,5",23
2024-01-27 13:00,"58,6",32
2024-01-27 14:00,"79,6",57
2024-01-27 15:00,"81,5",44
2024-01-27 16:00,"55,8",21
2024-01-27 17:00,"45,4",11
2024-01-27 18:00,"45,4",26
2024-01-27 19:00,50,15
2024-01-27 20:00,"40,5",23
2024-01-27 21:00,"44,1",28
2024-01-27 22:00,57,34
2024-01-27 23:00,"63,7",35
2024-01-27 24:00,"52,6",31
2024-01-28 01:00,"48,1",27
2024-01-28 02:00,"49,5",27
2024-01-28 03:00,"45,2",23
2024-01-28 04:00,"51,5",33
2024-01-28 05:00,59,36
2024-01-28 06:00,"67,4",34
2024-01-28 07:00,"65,2",44
2024-01-28 08:00,"67,1",29
2024-01-28 09:00,"62,2",38
2024-01-28 10:00,73,53
2024-01-28 11:00,"47,2",31
2024-01-28 12:00,49,37
2024-01-28 13:00,49,35
2024-01-28 14:00,59,41
2024-01-28 15:00,"38,6",21
2024-01-28 16:00,"37,3",22
2024-01-28 17:00,"39,6",16
2024-01-28 18:00,"33,8",22
2024-01-28 19:00,"29,8",19
2024-01-28 20:00,34,22
2024-01-28 21:00,"39,3",20
2024-01-28 22:00,"39,3",22
2024-01-28 23:00,31,24
2024-01-28 24:00,"40,3",21
2024-01-29 01:00,"34,5",21
2024-01-29 02:00,"21,3",11
2024-01-29 03:00,"19,3",8
2024-01-29 04:00,22,19
2024-01-29 05:00,"21,5",19
2024-01-29 06:00,26,22
2024-01-29 07:00,"23,8",22
2024-01-29 08:00,"20,3",15
2024-01-29 09:00,"25,7",13
2024-01-29 10:00,"18,8",14
2024-01-29 11:00,"14,9",9
2024-01-29 12:00,"25,5",8
2024-01-29 13:00,"15,7",12
2024-01-29 14:00,"15,9",13
2024-01-29 15:00,"16,6",11
2024-01-29 16:00,45,12
2024-01-29 17:00,56,14
2024-01-29 18:00,"53,4",23
2024-01-29 19:00,"51,7",20
2024-01-29 20:00,"43,4",14
2024-01-29 21:00,"24,2",16
2024-01-29 22:00,"26,1",14
2024-01-29 23:00,"25,2",15
2024-01-29 24:00,"29,1",16
2024-01-30 01:00,"26,7",15
2024-01-30 02:00,"26,2",17
2024-01-30 03:00,"37,8",19
2024-01-30 04:00,"36,2",27
2024-01-30 05:00,"41,5",21
2024-01-30 06:00,"47,4",30
2024-01-30 07:00,"57,3",30
2024-01-30 08:00,"72,2",30
2024-01-30 09:00,"84,1",40
2024-01-30 10:00,"79,5",52
2024-01-30 11:00,"56,3",38
2024-01-30 12:00,"19,1",6
2024-01-30 13:00,"20,3",6
2024-01-30 14:00,"16,1",9
2024-01-30 15:00,"18,7",8
2024-01-30 16:00,"31,5",7
2024-01-30 17:00,"25,7",13
2024-01-30 18:00,"27,9",9
2024-01-30 19:00,"24,2",2
2024-01-30 20:00,"32,8",22
2024-01-30 21:00,"36,4",25
2024-01-30 22:00,"36,1",26
2024-01-30 23:00,"40,4",19
2024-01-30 24:00,"31,5",31
2024-01-31 01:00,"26,4",22
2024-01-31 02:00,40,16
2024-01-31 03:00,"44,3",15
2024-01-31 04:00,"39,8",27
2024-01-31 05:00,"42,4",21
2024-01-31 06:00,"44,4",18
2024-01-31 07:00,"61,5",36
2024-01-31 08:00,"60,5",30
2024-01-31 09:00,"101,9",44
2024-01-31 10:00,"84,8",37
2024-01-31 11:00,"96,9",44
2024-01-31 12:00,"60,5",30
2024-01-31 13:00,"20,3",18
2024-01-31 14:00,"25,5",16
2024-01-31 15:00,"22,4",16
2024-01-31 16:00,"12,5",7
2024-01-31 17:00,"39,5",6
2024-01-31 18:00,"44,6",19
2024-01-31 19:00,"25,7",17
2024-01-31 20:00,"28,1",24
2024-01-31 21:00,"27,6",19
2024-01-31 22:00,"27,8",25
2024-01-31 23:00,"23,6",15
2024-01-31 24:00,"24,7",19
