Fecha Hora,PM10 [µg/m3],PM2.5 [µg/m3]
2024-01-22 01:00,"10,4","5,4"
2024-01-22 02:00,25,"4,8"
2024-01-22 03:00,"12,7","4,5"
2024-01-22 04:00,"8,6","3,8"
2024-01-22 05:00,"21,1","3,5"
2024-01-22 06:00,"11,9","3,2"
2024-01-22 07:00,"14,1","5,4"
2024-01-22 08:00,"19,9","6,2"
2024-01-22 09:00,"26,6",
2024-01-22 10:00,"26,9",
2024-01-22 11:00,"26,9",
2024-01-22 12:00,"15,8",
2024-01-22 13:00,"34,1",
2024-01-22 14:00,50,
2024-01-22 15:00,"42,5",
2024-01-22 16:00,"49,7",
2024-01-22 17:00,"25,8",
2024-01-22 18:00,"21,9",
2024-01-22 19:00,"24,7",
2024-01-22 20:00,23,
2024-01-22 21:00,"32,6",
2024-01-22 22:00,"37,2",
2024-01-22 23:00,"24,2",
2024-01-22 24:00,"37,5",
2024-01-22 01:00,"10,4","5,4"
2024-01-22 02:00,25,"4,8"
2024-01-22 03:00,"12,7","4,5"
2024-01-22 04:00,"8,6","3,8"
2024-01-22 05:00,"21,1","3,5"
2024-01-22 06:00,"11,9","3,2"
2024-01-22 07:00,"14,1","5,4"
2024-01-22 08:00,"19,9","6,2"
2024-01-22 09:00,"26,6",
2024-01-22 10:00,"26,9",
2024-01-22 11:00,"26,9",
2024-01-22 12:00,"15,8",
2024-01-22 13:00,"34,1",
2024-01-22 14:00,50,
2024-01-22 15:00,"42,5",
2024-01-22 16:00,"49,7",
2024-01-22 17:00,"25,8",
2024-01-22 18:00,"21,9",
2024-01-22 19:00,"24,7",
2024-01-22 20:00,23,
2024-01-22 21:00,"32,6",
2024-01-22 22:00,"37,2",
2024-01-22 23:00,"24,2",
2024-01-22 24:00,"37,5",
2024-01-23 01:00,"25,9",
2024-01-23 02:00,"13,4",
2024-01-23 03:00,"8,2",
2024-01-23 04:00,"16,5",
2024-01-23 05:00,"10,2",
2024-01-23 06:00,"21,5",
2024-01-23 07:00,"41,4",
2024-01-23 08:00,"33,1",
2024-01-23 09:00,36,
2024-01-23 10:00,"47,1",
2024-01-23 11:00,"25,9",
2024-01-23 12:00,"16,4",
2024-01-23 13:00,"54,3",
2024-01-23 14:00,"55,8",
2024-01-23 15:00,"52,1",
2024-01-23 16:00,"43,6",
2024-01-23 17:00,"31,7",
2024-01-23 18:00,"34,8",
2024-01-23 19:00,27,
2024-01-23 20:00,"28,9",
2024-01-23 21:00,"49,3",
2024-01-23 22:00,"39,9",
2024-01-23 23:00,"26,5",
2024-01-23 24:00,"19,5",
2024-01-24 01:00,"27,8",
2024-01-24 02:00,"40,9",
2024-01-24 03:00,"25,2",
2024-01-24 04:00,"25,9",
2024-01-24 05:00,"24,4",
2024-01-24 06:00,"20,2",
2024-01-24 07:00,"33,8",
2024-01-24 08:00,"39,4",
2024-01-24 09:00,"38,4",
2024-01-24 10:00,,"41,6"
2024-01-24 11:00,"54,9","41,3"
2024-01-24 12:00,"38,5","29,5"
2024-01-24 13:00,"38,2","20,9"
2024-01-24 14:00,"38,8","15,2"
